layer,issuer,document_id,run_id,timestamp,model,input_tokens,cache_hit_tokens,output_tokens,total_tokens,estimated_cost_usd
macro,macro,FOMC_2025-01-29,20260702T132530Z,2026-07-02T13:25:45Z,deepseek-v4-flash,14258,,1834,16092,0.005867
macro,macro,FOMC_2025-03-19,20260702T132545Z,2026-07-02T13:26:02Z,deepseek-v4-flash,13023,,1861,14884,0.005563
macro,macro,FOMC_2025-05-07,20260702T132602Z,2026-07-02T13:26:18Z,deepseek-v4-flash,13398,,1838,15236,0.005639
macro,macro,FOMC_2025-06-18,20260702T132618Z,2026-07-02T13:26:34Z,deepseek-v4-flash,12795,,2002,14797,0.005657
macro,macro,FOMC_2025-07-30,20260702T132634Z,2026-07-02T13:26:50Z,deepseek-v4-flash,12864,,2145,15009,0.005833
macro,macro,FOMC_2025-09-17,20260702T132650Z,2026-07-02T13:27:00Z,deepseek-v4-flash,12012,,1335,13347,0.004712
macro,macro,FOMC_2025-10-29,20260702T132701Z,2026-07-02T13:27:13Z,deepseek-v4-flash,14272,,1727,15999,0.005753
macro,macro,FOMC_2025-12-10,20260702T132713Z,2026-07-02T13:27:24Z,deepseek-v4-flash,13507,,1384,14891,0.005169
macro,macro,FOMC_2026-01-28,20260709T145704Z,2026-07-09T14:57:23Z,deepseek-v4-flash,12802,256,2222,15024,0.00585
macro,macro,FOMC_2026-03-18,20260706T104203Z,2026-07-06T10:42:19Z,deepseek-v4-flash,12048,256,2071,14119,0.00548
macro,macro,FOMC_2026-04-29,20260706T104222Z,2026-07-06T10:42:36Z,deepseek-v4-flash,13001,256,2043,15044,0.005706
micro,p2_airbnb,ABNB_FQ1_2026,20260730T171935Z,,deepseek-v4-flash,20676,,2090,22766,0.00783
micro,p2_airbnb,ABNB_FQ2_2025,20260730T171935Z,,deepseek-v4-flash,21818,,1992,23810,0.008082
micro,p2_airbnb,ABNB_FQ3_2025,20260730T171935Z,,deepseek-v4-flash,20715,,1969,22684,0.007759
micro,p2_airbnb,ABNB_FQ4_2025,20260730T171935Z,,deepseek-v4-flash,19576,,1951,21527,0.00738
micro,p2_allianz,ALV.DE_FQ1_2025,20260809T094447Z,,deepseek-v4-flash,29823,,1848,31671,0.010085
micro,p2_alphabet,GOOGL_FQ1_2026,20260809T094904Z,,deepseek-v4-flash,23143,,2083,25226,0.008489
micro,p2_alphabet,GOOGL_FQ3_2025,20260809T094904Z,,deepseek-v4-flash,23387,,2137,25524,0.008614
micro,p2_alphabet,GOOGL_FQ4_2025,20260809T094904Z,,deepseek-v4-flash,24698,,1674,26372,0.008459
micro,p2_amazon,AMZN_FQ1_2026,20260730T172044Z,,deepseek-v4-flash,15583,,1632,17215,0.005951
micro,p2_amazon,AMZN_FQ3_2025,20260730T172044Z,,deepseek-v4-flash,14925,,2311,17236,0.006521
micro,p2_amazon,AMZN_FQ4_2025,20260730T172044Z,,deepseek-v4-flash,16605,,2243,18848,0.006899
micro,p2_amd,AMD_FQ1_2026,20260730T172131Z,,deepseek-v4-flash,17491,,1673,19164,0.006512
micro,p2_amd,AMD_FQ2_2025,20260730T172131Z,,deepseek-v4-flash,16438,,1757,18195,0.00632
micro,p2_amd,AMD_FQ4_2025,20260730T172131Z,,deepseek-v4-flash,16240,,1839,18079,0.006357
micro,p2_apple,AAPL_FQ1_2026,20260730T172214Z,,deepseek-v4-flash,17966,,2134,20100,0.007147
micro,p2_apple,AAPL_FQ3_2025,20260730T172214Z,,deepseek-v4-flash,17382,,2154,19536,0.007011
micro,p2_apple,AAPL_FQ4_2025,20260730T172214Z,,deepseek-v4-flash,17164,,1909,19073,0.006683
micro,p2_bank_of_america,BAC_FQ1_2025,20260718T212506Z,,deepseek-v4-flash,61462,,2184,63646,0.006709
micro,p2_bank_of_america,BAC_FQ2_2025,20260718T212506Z,,deepseek-v4-flash,66960,,2202,69162,0.007113
micro,p2_bank_of_america,BAC_FQ3_2025,20260718T212506Z,,deepseek-v4-flash,66225,,2230,68455,0.007099
micro,p2_bank_of_america,BAC_FQ4_2025,20260718T212506Z,,deepseek-v4-flash,67411,,3282,70693,0.008346
micro,p2_barclays,BCS_FQ1_2026,20260730T172306Z,,deepseek-v4-flash,51174,,2161,53335,0.016143
micro,p2_barclays,BCS_FQ2_2025,20260730T172306Z,,deepseek-v4-flash,89035,,3249,92284,0.027562
micro,p2_barclays,BCS_FQ3_2025,20260730T172306Z,,deepseek-v4-flash,56141,,2333,58474,0.017673
micro,p2_boeing,BA_FQ1_2025,20260721T160357Z,,deepseek-v4-flash,23830,,2443,26273,0.00907
micro,p2_boeing,BA_FQ2_2025,20260721T160357Z,,deepseek-v4-flash,12035,,1845,13880,0.005228
micro,p2_boeing,BA_FQ3_2025,20260721T160357Z,,deepseek-v4-flash,12302,,1797,14099,0.005247
micro,p2_boeing,BA_FQ4_2025,20260721T160357Z,,deepseek-v4-flash,122024,,2821,124845,0.035998
micro,p2_booking_holdings,BKNG_FQ2_2025,20260809T095014Z,,deepseek-v4-flash,13981,,2118,16099,0.006053
micro,p2_booking_holdings,BKNG_FQ3_2025,20260809T095014Z,,deepseek-v4-flash,25142,,2411,27553,0.009389
micro,p2_booking_holdings,BKNG_FQ4_2025,20260809T095014Z,,deepseek-v4-flash,24452,,3133,27585,0.009997
micro,p2_broadcom,AVGO_FQ1_2026,20260809T095143Z,,deepseek-v4-flash,25819,,2329,28148,0.009482
micro,p2_broadcom,AVGO_FQ3_2025,20260809T095143Z,,deepseek-v4-flash,28928,,2278,31206,0.010265
micro,p2_broadcom,AVGO_FQ4_2025,20260809T095143Z,,deepseek-v4-flash,27941,,2413,30354,0.010147
micro,p2_caterpillar,CAT_FQ2_2025,20260809T095259Z,,deepseek-v4-flash,32341,,2553,34894,0.011489
micro,p2_caterpillar,CAT_FQ3_2025,20260809T095259Z,,deepseek-v4-flash,32615,,2097,34712,0.011062
micro,p2_caterpillar,CAT_FQ4_2025,20260809T095259Z,,deepseek-v4-flash,24465,,2855,27320,0.009695
micro,p2_charles_schwab,SCHW_FQ1_2025,20260730T172436Z,,deepseek-v4-flash,26992,,2218,29210,0.009676
micro,p2_charles_schwab,SCHW_FQ1_2026,20260730T172436Z,,deepseek-v4-flash,27125,,1836,28961,0.009292
micro,p2_charles_schwab,SCHW_FQ2_2025,20260730T172436Z,,deepseek-v4-flash,28253,,1887,30140,0.009653
micro,p2_charles_schwab,SCHW_FQ3_2025,20260730T172436Z,,deepseek-v4-flash,28707,,1491,30198,0.00934
micro,p2_charles_schwab,SCHW_FQ4_2025,20260730T172436Z,,deepseek-v4-flash,27901,,2152,30053,0.009849
micro,p2_chipotle,CMG_FQ1_2025,20260809T095426Z,,deepseek-v4-flash,23102,,1797,24899,0.008163
micro,p2_chipotle,CMG_FQ2_2025,20260809T095426Z,,deepseek-v4-flash,24130,,2288,26418,0.008981
micro,p2_chipotle,CMG_FQ3_2025,20260809T095426Z,,deepseek-v4-flash,16683,,2005,18688,0.006659
micro,p2_chipotle,CMG_FQ4_2025,20260809T095426Z,,deepseek-v4-flash,22542,,2975,25517,0.009308
micro,p2_citigroup,C_FQ1_2025,20260718T213110Z,,deepseek-v4-flash,61904,,1989,63893,0.006537
micro,p2_citigroup,C_FQ2_2025,20260718T213110Z,,deepseek-v4-flash,68660,,2599,71259,0.007676
micro,p2_citigroup,C_FQ3_2025,20260718T213110Z,,deepseek-v4-flash,91363,,3184,94547,0.009918
micro,p2_citigroup,C_FQ4_2025,20260718T213110Z,,deepseek-v4-flash,195983,,3294,199277,0.017345
micro,p2_coca_cola,KO_FQ1_2026,20260730T172550Z,,deepseek-v4-flash,16587,,2044,18631,0.006676
micro,p2_coca_cola,KO_FQ2_2025,20260730T172550Z,,deepseek-v4-flash,16811,,1941,18752,0.006623
micro,p2_coca_cola,KO_FQ4_2025,20260730T172550Z,,deepseek-v4-flash,17416,,2173,19589,0.007041
micro,p2_coinbase,COIN_FQ1_2026,20260730T172642Z,,deepseek-v4-flash,19932,,1682,21614,0.007181
micro,p2_coinbase,COIN_FQ3_2025,20260730T172642Z,,deepseek-v4-flash,19913,,1808,21721,0.007314
micro,p2_coinbase,COIN_FQ4_2025,20260730T172642Z,,deepseek-v4-flash,20471,,1868,22339,0.007531
micro,p2_comcast_corporation,CMCSA_FQ1_2025,20260809T095557Z,,deepseek-v4-flash,25306,,3003,28309,0.010085
micro,p2_comcast_corporation,CMCSA_FQ1_2026,20260809T095557Z,,deepseek-v4-flash,26824,,2596,29420,0.010047
micro,p2_comcast_corporation,CMCSA_FQ2_2025,20260809T095557Z,,deepseek-v4-flash,28137,,2572,30709,0.010375
micro,p2_comcast_corporation,CMCSA_FQ4_2025,20260809T095557Z,,deepseek-v4-flash,27442,,3084,30526,0.010751
micro,p2_cvs_health,CVS_FQ1_2026,20260730T172735Z,,deepseek-v4-flash,18884,,2653,21537,0.007966
micro,p2_cvs_health,CVS_FQ2_2025,20260730T172735Z,,deepseek-v4-flash,19209,,1949,21158,0.007279
micro,p2_cvs_health,CVS_FQ3_2025,20260730T172735Z,,deepseek-v4-flash,19935,,2962,22897,0.008589
micro,p2_cvs_health,CVS_FQ4_2025,20260730T172735Z,,deepseek-v4-flash,20173,,2070,22243,0.007673
micro,p2_dell,DELL_FQ1_2025,20260809T095758Z,,deepseek-v4-flash,20264,,2395,22659,0.008055
micro,p2_dell,DELL_FQ3_2025,20260809T095758Z,,deepseek-v4-flash,21038,,2894,23932,0.008812
