rater,report_date,ticker,decision,gap,net,equity
LLM (DeepSeek),2023-04-25,PEP,BUY,0.0057,0.0047,1.0047
LLM (DeepSeek),2023-07-13,PEP,BUY,0.0144,0.0134,1.0181
LLM (DeepSeek),2023-10-10,PEP,BUY,0.0179,0.0169,1.0353
LLM (DeepSeek),2024-02-09,PEP,SELL,-0.0153,0.0143,1.0501
LLM (DeepSeek),2024-04-23,PEP,HOLD,-0.01,-0.0,1.0501
LLM (DeepSeek),2024-07-11,PEP,SELL,-0.0275,0.0265,1.0779
LLM (DeepSeek),2024-07-31,MET,HOLD,0.0229,0.0,1.0779
LLM (DeepSeek),2024-10-01,NKE,SELL,-0.07,0.069,1.1522
LLM (DeepSeek),2024-10-08,PEP,SELL,0.0031,-0.0041,1.1476
LLM (DeepSeek),2024-10-23,HLT,BUY,-0.0026,-0.0036,1.1434
LLM (DeepSeek),2024-10-30,MSFT,BUY,-0.0397,-0.0407,1.0969
LLM (DeepSeek),2024-10-30,MET,SELL,-0.0795,0.0785,1.183
LLM (DeepSeek),2024-12-19,NKE,SELL,-0.0148,0.0138,1.1993
LLM (DeepSeek),2025-01-21,NFLX,BUY,0.1475,0.1465,1.3751
LLM (DeepSeek),2025-01-29,MSFT,BUY,-0.0533,-0.0543,1.3005
LLM (DeepSeek),2025-02-04,PEP,SELL,-0.0278,0.0268,1.3353
LLM (DeepSeek),2025-02-05,DIS,BUY,0.0211,0.0201,1.3622
LLM (DeepSeek),2025-02-06,PINS,BUY,0.2173,0.2163,1.6569
LLM (DeepSeek),2025-02-10,MCD,SELL,0.0271,-0.0281,1.6104
LLM (DeepSeek),2025-02-12,KHC,SELL,-0.0694,0.0684,1.7204
LLM (DeepSeek),2025-02-26,NVDA,SELL,0.0284,-0.0294,1.6699
LLM (DeepSeek),2025-03-20,NKE,SELL,-0.0734,0.0724,1.7908
LLM (DeepSeek),2025-04-09,DAL,SELL,0.0289,-0.0299,1.7372
LLM (DeepSeek),2025-04-10,JPM,SELL,-0.0185,0.0175,1.7677
LLM (DeepSeek),2025-04-11,GS,HOLD,-0.0057,-0.0,1.7677
LLM (DeepSeek),2025-04-14,JNJ,HOLD,-0.0009,-0.0,1.7677
LLM (DeepSeek),2025-04-15,C,HOLD,0.0152,0.0,1.7677
LLM (DeepSeek),2025-04-15,BAC,HOLD,0.0308,0.0,1.7677
LLM (DeepSeek),2025-04-15,UAL,SELL,0.0394,-0.0404,1.6962
LLM (DeepSeek),2025-04-16,SCHW,HOLD,0.026,0.0,1.6962
LLM (DeepSeek),2025-04-17,NFLX,HOLD,0.0117,0.0,1.6962
LLM (DeepSeek),2025-04-22,LMT,HOLD,-0.0006,-0.0,1.6962
LLM (DeepSeek),2025-04-23,BA,HOLD,0.0706,0.0,1.6962
LLM (DeepSeek),2025-04-23,CMG,SELL,0.009,-0.01,1.6792
LLM (DeepSeek),2025-04-23,CMCSA,SELL,0.0099,-0.0109,1.6609
LLM (DeepSeek),2025-04-24,PEP,SELL,-0.0057,0.0047,1.6687
LLM (DeepSeek),2025-04-28,PFE,HOLD,0.0048,0.0,1.6687
LLM (DeepSeek),2025-04-28,V,HOLD,0.0029,0.0,1.6687
LLM (DeepSeek),2025-04-29,HLT,SELL,0.0135,-0.0145,1.6445
LLM (DeepSeek),2025-04-29,PYPL,HOLD,0.0222,0.0,1.6445
LLM (DeepSeek),2025-04-30,HOOD,BUY,0.0409,0.0399,1.7101
LLM (DeepSeek),2025-05-02,STAN.L,HOLD,0.0301,0.0,1.7101
LLM (DeepSeek),2025-05-05,PLTR,BUY,-0.0894,-0.0904,1.5556
LLM (DeepSeek),2025-05-06,UBER,HOLD,-0.0226,-0.0,1.5556
LLM (DeepSeek),2025-05-07,NVO,SELL,0.0463,-0.0473,1.482
LLM (DeepSeek),2025-05-07,PUM.DE,SELL,0.0139,-0.0149,1.46
LLM (DeepSeek),2025-05-08,EXPE,SELL,-0.097,0.096,1.6002
LLM (DeepSeek),2025-05-14,WMT,HOLD,0.0015,0.0,1.6002
LLM (DeepSeek),2025-05-21,TGT,SELL,-0.0674,0.0664,1.7065
LLM (DeepSeek),2025-05-22,WDAY,HOLD,-0.112,-0.0,1.7065
LLM (DeepSeek),2025-05-28,NVDA,HOLD,0.0552,0.0,1.7065
LLM (DeepSeek),2025-05-29,DELL,HOLD,-0.0101,-0.0,1.7065
LLM (DeepSeek),2025-07-10,DAL,BUY,0.1084,0.1074,1.8898
LLM (DeepSeek),2025-07-15,C,HOLD,0.0132,0.0,1.8898
LLM (DeepSeek),2025-07-15,GS,BUY,0.0,-0.001,1.8879
LLM (DeepSeek),2025-07-15,BAC,HOLD,-0.0041,-0.0,1.8879
LLM (DeepSeek),2025-07-15,JPM,BUY,-0.0024,-0.0034,1.8814
LLM (DeepSeek),2025-07-15,JNJ,BUY,-0.0029,-0.0039,1.874
LLM (DeepSeek),2025-07-16,UAL,BUY,0.0387,0.0377,1.9446
LLM (DeepSeek),2025-07-17,SCHW,BUY,0.0279,0.0269,1.997
LLM (DeepSeek),2025-07-17,NFLX,BUY,-0.0253,-0.0263,1.9445
LLM (DeepSeek),2025-07-17,PEP,HOLD,0.0469,0.0,1.9445
LLM (DeepSeek),2025-07-22,KO,HOLD,-0.0088,-0.0,1.9445
LLM (DeepSeek),2025-07-22,LMT,SELL,-0.082,0.081,2.1021
LLM (DeepSeek),2025-07-23,IBM,BUY,-0.0736,-0.0746,1.9452
LLM (DeepSeek),2025-07-23,HLT,HOLD,-0.0326,-0.0,1.9452
LLM (DeepSeek),2025-07-23,CMG,SELL,-0.1247,0.1237,2.1858
LLM (DeepSeek),2025-07-24,MC.PA,HOLD,-0.0113,-0.0,2.1858
LLM (DeepSeek),2025-07-28,UNH,SELL,0.0087,-0.0097,2.1646
LLM (DeepSeek),2025-07-29,BA,HOLD,0.0131,0.0,2.1646
LLM (DeepSeek),2025-07-29,BCS,BUY,0.0213,0.0203,2.2085
LLM (DeepSeek),2025-07-29,BKNG,BUY,-0.018,-0.019,2.1664
LLM (DeepSeek),2025-07-29,PYPL,BUY,-0.083,-0.084,1.9843
LLM (DeepSeek),2025-07-29,SPOT,HOLD,-0.062,-0.0,1.9843
LLM (DeepSeek),2025-07-29,SBUX,HOLD,0.0524,0.0,1.9843
LLM (DeepSeek),2025-07-29,V,BUY,0.0012,0.0002,1.9847
LLM (DeepSeek),2025-07-30,F,SELL,-0.0098,0.0088,2.0021
LLM (DeepSeek),2025-07-30,CMCSA,HOLD,0.0,0.0,2.0021
LLM (DeepSeek),2025-07-30,HOOD,BUY,-0.0211,-0.0221,1.9578
LLM (DeepSeek),2025-07-31,AAPL,HOLD,0.0159,0.0,1.9578
LLM (DeepSeek),2025-07-31,CVS,BUY,0.0515,0.0505,2.0567
LLM (DeepSeek),2025-07-31,STAN.L,BUY,0.0088,0.0078,2.0726
LLM (DeepSeek),2025-08-01,LIN,SELL,-0.0042,0.0032,2.0793
LLM (DeepSeek),2025-08-04,PFE,BUY,-0.0023,-0.0033,2.0725
LLM (DeepSeek),2025-08-04,CAT,BUY,0.0051,0.0041,2.0809
LLM (DeepSeek),2025-08-04,PLTR,BUY,0.0694,0.0684,2.2232
LLM (DeepSeek),2025-08-05,AMD,BUY,-0.0531,-0.0541,2.1029
LLM (DeepSeek),2025-08-05,UBER,BUY,0.0106,0.0096,2.1231
LLM (DeepSeek),2025-08-05,DIS,BUY,-0.0008,-0.0018,2.1192
LLM (DeepSeek),2025-08-05,MAR,SELL,0.0007,-0.0017,2.1156
LLM (DeepSeek),2025-08-06,ABNB,HOLD,-0.0775,-0.0,2.1156
LLM (DeepSeek),2025-08-06,NVO,SELL,-0.0263,0.0253,2.1692
LLM (DeepSeek),2025-08-06,MET,SELL,-0.0507,0.0497,2.2769
LLM (DeepSeek),2025-08-07,EXPE,BUY,0.1279,0.1269,2.5658
LLM (DeepSeek),2025-08-20,LOW,HOLD,0.0353,0.0,2.5658
LLM (DeepSeek),2025-08-20,WMT,BUY,-0.0013,-0.0023,2.5599
LLM (DeepSeek),2025-08-20,TGT,HOLD,-0.1039,-0.0,2.5599
LLM (DeepSeek),2025-08-21,WDAY,BUY,-0.0602,-0.0612,2.4033
LLM (DeepSeek),2025-08-27,NVDA,BUY,-0.0043,-0.0053,2.3905
