rater,report_date,ticker,decision,gap,net,equity
LLM (DeepSeek),2023-04-28,XOM,HOLD,0.0035,0.0,1.0
LLM (DeepSeek),2023-05-09,DUK,HOLD,0.0079,0.0,1.0
LLM (DeepSeek),2023-07-28,XOM,HOLD,-0.0029,-0.0,1.0
LLM (DeepSeek),2023-08-08,DUK,SELL,-0.0028,0.0018,1.0018
LLM (DeepSeek),2023-10-27,XOM,HOLD,0.012,0.0,1.0018
LLM (DeepSeek),2023-11-02,DUK,HOLD,0.0141,0.0,1.0018
LLM (DeepSeek),2024-02-02,XOM,HOLD,0.0133,0.0,1.0018
LLM (DeepSeek),2024-02-08,DUK,BUY,-0.0041,-0.0051,0.9966
LLM (DeepSeek),2024-03-01,HEIA.AS,HOLD,0.0049,0.0,0.9966
LLM (DeepSeek),2024-04-26,XOM,HOLD,-0.0192,-0.0,0.9966
LLM (DeepSeek),2024-05-07,DUK,HOLD,0.0017,0.0,0.9966
LLM (DeepSeek),2024-07-01,HEIA.AS,HOLD,0.0056,0.0,0.9966
LLM (DeepSeek),2024-08-02,XOM,HOLD,-0.0084,-0.0,0.9966
LLM (DeepSeek),2024-08-06,DUK,HOLD,0.0027,0.0,0.9966
LLM (DeepSeek),2024-10-01,HEIA.AS,HOLD,0.0005,0.0,0.9966
LLM (DeepSeek),2024-10-01,NSRGY,SELL,-0.0036,0.0026,0.9993
LLM (DeepSeek),2024-11-01,XOM,HOLD,0.0269,0.0,0.9993
LLM (DeepSeek),2024-11-07,DUK,SELL,0.0062,-0.0072,0.992
LLM (DeepSeek),2025-01-31,XOM,HOLD,0.009,0.0,0.992
LLM (DeepSeek),2025-02-01,RMSP.XC,HOLD,0.057228,0.0,0.992
LLM (DeepSeek),2025-02-13,DUK,BUY,0.0032,0.0022,0.9943
LLM (DeepSeek),2025-04-30,EBAY,SELL,0.0277,-0.0287,0.9657
LLM (DeepSeek),2025-05-02,XOM,HOLD,0.0183,0.0,0.9657
LLM (DeepSeek),2025-05-06,DUK,HOLD,-0.0032,-0.0,0.9657
LLM (DeepSeek),2025-07-01,RMSP.XC,SELL,-0.0039,0.0029,0.9685
LLM (DeepSeek),2025-07-18,AXP,HOLD,-0.0111,-0.0,0.9685
LLM (DeepSeek),2025-07-23,FCX,HOLD,-0.0247,-0.0,0.9685
LLM (DeepSeek),2025-07-24,INTC,SELL,-0.0862,0.0852,1.051
LLM (DeepSeek),2025-07-30,EBAY,HOLD,0.1371,0.0,1.051
LLM (DeepSeek),2025-07-31,MA,HOLD,0.0169,0.0,1.051
LLM (DeepSeek),2025-08-01,CVX,HOLD,0.006,0.0,1.051
