rater,report_date,ticker,decision,gap,net,equity,document_id
LLM (DeepSeek),2023-04-28,XOM,BUY,0.0036,0.0026,1.0026,XOM_FQ1_2023
LLM (DeepSeek),2023-05-09,DUK,HOLD,-0.0119,-0.0,1.0026,DUK_FQ1_2023
LLM (DeepSeek),2023-07-28,XOM,HOLD,-0.0029,-0.0,1.0026,XOM_FQ2_2023
LLM (DeepSeek),2023-08-08,DUK,SELL,0.0069,-0.0079,0.9946795,DUK_FQ2_2023
LLM (DeepSeek),2023-10-27,XOM,BUY,0.012,0.011,1.0056209,XOM_FQ3_2023
LLM (DeepSeek),2023-11-02,DUK,HOLD,-0.0004,-0.0,1.0056209,DUK_FQ3_2023
LLM (DeepSeek),2024-02-02,XOM,BUY,0.0133,0.0123,1.0179901,XOM_FQ4_2023
LLM (DeepSeek),2024-02-08,DUK,BUY,-0.008,-0.009,1.0088282,DUK_FQ4_2023
LLM (DeepSeek),2024-03-01,HEIA.AS,HOLD,0.0049,0.0,1.0088282,HEINY_FQ1_2024
LLM (DeepSeek),2024-04-26,XOM,BUY,-0.0192,-0.0202,0.9884498,XOM_FQ1_2024
LLM (DeepSeek),2024-05-07,DUK,HOLD,0.0058,0.0,0.9884498,DUK_FQ1_2024
LLM (DeepSeek),2024-07-01,HEIA.AS,HOLD,0.0055,0.0,0.9884498,HEINY_FQ2_2024
LLM (DeepSeek),2024-08-02,XOM,BUY,-0.0084,-0.0094,0.9791584,XOM_FQ2_2024
LLM (DeepSeek),2024-08-06,DUK,BUY,0.0133,0.0123,0.9912021,DUK_FQ2_2024
LLM (DeepSeek),2024-10-01,HEIA.AS,HOLD,0.0005,0.0,0.9912021,HEINY_FQ3_2024
LLM (DeepSeek),2024-10-01,NSRGY,SELL,-0.0037,0.0027,0.9938783,NSRGY_FQ3_2024
LLM (DeepSeek),2024-11-01,XOM,BUY,0.027,0.026,1.0197191,XOM_FQ3_2024
LLM (DeepSeek),2024-11-07,DUK,SELL,-0.0087,0.0077,1.027571,DUK_FQ3_2024
LLM (DeepSeek),2025-01-31,XOM,BUY,0.0089,0.0079,1.0356888,XOM_FQ4_2024
LLM (DeepSeek),2025-02-13,DUK,BUY,-0.0092,-0.0102,1.0251248,DUK_FQ4_2024
LLM (DeepSeek),2025-04-17,RMSP.XC,HOLD,-0.0287,-0.0,1.0251248,RMS_FQ1_2025
LLM (DeepSeek),2025-04-30,EBAY,HOLD,0.0277,0.0,1.0251248,EBAY_FQ1_2025
LLM (DeepSeek),2025-05-02,XOM,HOLD,0.0183,0.0,1.0251248,XOM_FQ1_2025
LLM (DeepSeek),2025-05-06,DUK,HOLD,0.0104,0.0,1.0251248,DUK_FQ1_2025
LLM (DeepSeek),2025-07-18,AXP,HOLD,-0.0111,-0.0,1.0251248,AXP_FQ2_2025
LLM (DeepSeek),2025-07-23,FCX,BUY,-0.0249,-0.0259,0.998574,FCX_FQ2_2025
LLM (DeepSeek),2025-07-24,INTC,SELL,-0.0862,0.0852,1.0836525,INTC_FQ2_2025
LLM (DeepSeek),2025-07-30,EBAY,HOLD,0.1372,0.0,1.0836525,EBAY_FQ2_2025
LLM (DeepSeek),2025-07-30,RMSP.XC,HOLD,-0.0364,-0.0,1.0836525,RMS_FQ2_2025
LLM (DeepSeek),2025-07-31,MA,BUY,0.0169,0.0159,1.1008826,MA_FQ2_2025
LLM (DeepSeek),2025-08-01,CVX,BUY,0.0059,0.0049,1.1062769,CVX_FQ2_2025
LLM (DeepSeek),2025-08-01,SHEL,HOLD,0.0047,0.0,1.1062769,SHEL_FQ2_2025
LLM (DeepSeek),2025-08-01,XOM,HOLD,0.0032,0.0,1.1062769,XOM_FQ2_2025
LLM (DeepSeek),2025-08-05,DUK,BUY,0.0225,0.0215,1.1300619,DUK_FQ2_2025
LLM (DeepSeek),2025-08-07,DDOG,BUY,0.0788,0.0778,1.2179807,DDOG_FQ2_2025
LLM (DeepSeek),2025-08-19,HD,HOLD,0.016,0.0,1.2179807,HD_FQ2_2025
LLM (DeepSeek),2025-08-21,UNP,HOLD,-0.0009,-0.0,1.2179807,UNP_FQ2_2025
LLM (DeepSeek),2025-09-11,ADBE,BUY,0.0301,0.0291,1.2534239,ADBE_FQ3_2025
LLM (DeepSeek),2025-09-25,COST,HOLD,-0.0188,-0.0,1.2534239,COST_FQ4_2025
LLM (DeepSeek),2025-10-01,HEIA.AS,SELL,-0.0027,0.0017,1.2555548,HEINY_FQ3_2025
LLM (DeepSeek),2025-10-17,AXP,BUY,0.0287,0.0277,1.2903336,AXP_FQ3_2025
LLM (DeepSeek),2025-10-22,RMSP.XC,HOLD,-0.0334,-0.0,1.2903336,RMS_FQ3_2025
LLM (DeepSeek),2025-10-23,INTC,BUY,0.0487,0.0477,1.3518825,INTC_FQ3_2025
LLM (DeepSeek),2025-10-29,EBAY,BUY,-0.14,-0.141,1.1612671,EBAY_FQ3_2025
LLM (DeepSeek),2025-10-30,MA,BUY,-0.0054,-0.0064,1.153835,MA_FQ3_2025
LLM (DeepSeek),2025-10-31,CL,SELL,-0.0125,0.0115,1.1671041,CL_FQ3_2025
LLM (DeepSeek),2025-10-31,CVX,BUY,0.0144,0.0134,1.1827433,CVX_FQ3_2025
LLM (DeepSeek),2025-10-31,XOM,BUY,-0.0062,-0.0072,1.1742275,XOM_FQ3_2025
LLM (DeepSeek),2025-11-01,SHEL,BUY,-0.0009,-0.0019,1.1719965,SHEL_FQ3_2025
LLM (DeepSeek),2025-11-01,SONY,BUY,0.0029,0.0019,1.1742233,SONY_FQ2_2025
LLM (DeepSeek),2025-11-04,SHOP,BUY,-0.0571,-0.0581,1.1060009,SHOP_FQ3_2025
LLM (DeepSeek),2025-11-05,UNP,SELL,-0.0053,0.0043,1.1107567,UNP_FQ3_2025
LLM (DeepSeek),2025-11-06,DDOG,BUY,0.1543,0.1533,1.2810357,DDOG_FQ3_2025
LLM (DeepSeek),2025-11-07,DUK,BUY,0.0008,-0.0002,1.2807795,DUK_FQ3_2025
LLM (DeepSeek),2025-11-18,HD,SELL,-0.0504,0.0494,1.34405,HD_FQ3_2025
LLM (DeepSeek),2025-12-10,ADBE,BUY,-0.0043,-0.0053,1.3369266,ADBE_FQ4_2025
LLM (DeepSeek),2025-12-11,COST,BUY,-0.0013,-0.0023,1.3338516,COST_FQ1_2026
LLM (DeepSeek),2026-01-22,FCX,BUY,0.0033,0.0023,1.3369195,FCX_FQ4_2025
LLM (DeepSeek),2026-01-22,INTC,HOLD,-0.1373,-0.0,1.3369195,INTC_FQ4_2025
LLM (DeepSeek),2026-01-29,MA,BUY,0.02,0.019,1.362321,MA_FQ4_2025
