document_id,ticker,issuer,own_mentions_per_1k,top_other_issuer,top_other_mentions_per_1k,flagged,flag_reason,run_id
ABNB_FQ1_2026,ABNB,p2_airbnb,8.07,p2_delta_air_lines,0.3,False,,attr_check_20260811_201825
ABNB_FQ2_2025,ABNB,p2_airbnb,10.34,p2_alphabet,0.29,False,,attr_check_20260811_201825
ABNB_FQ3_2025,ABNB,p2_airbnb,9.22,p2_barclays,0.3,False,,attr_check_20260811_201825
ABNB_FQ4_2025,ABNB,p2_airbnb,7.51,p2_amazon,0.24,False,,attr_check_20260811_201825
AMZN_FQ1_2026,AMZN,p2_amazon,4.75,p2_nvidia,0.63,False,,attr_check_20260811_201825
AMZN_FQ3_2025,AMZN,p2_amazon,6.05,p2_nvidia,1.34,False,,attr_check_20260811_201825
AMZN_FQ4_2025,AMZN,p2_amazon,5.32,p2_alphabet,0.29,False,,attr_check_20260811_201825
AMD_FQ1_2026,AMD,p2_amd,3.26,p2_alphabet,0.18,False,,attr_check_20260811_201825
AMD_FQ2_2025,AMD,p2_amd,4.76,p2_alphabet,0.4,False,,attr_check_20260811_201825
AMD_FQ4_2025,AMD,p2_amd,4.12,p2_alphabet,0.41,False,,attr_check_20260811_201825
AAPL_FQ1_2026,AAPL,p2_apple,7.69,p2_alphabet,1.19,False,,attr_check_20260811_201825
AAPL_FQ3_2025,AAPL,p2_apple,7.34,p2_alphabet,0.19,False,,attr_check_20260811_201825
AAPL_FQ4_2025,AAPL,p2_apple,7.99,p2_broadcom,0.2,False,,attr_check_20260811_201825
CVS_FQ1_2026,CVS,p2_cvs_health,9.46,p2_barclays,0.25,False,,attr_check_20260811_201825
CVS_FQ2_2025,CVS,p2_cvs_health,4.3,p2_barclays,0.17,False,,attr_check_20260811_201825
CVS_FQ3_2025,CVS,p2_cvs_health,7.91,p2_barclays,0.24,False,,attr_check_20260811_201825
CVS_FQ4_2025,CVS,p2_cvs_health,9.5,p2_barclays,0.24,False,,attr_check_20260811_201825
SCHW_FQ1_2025,SCHW,p2_charles_schwab,7.95,p2_nvidia,0.49,False,,attr_check_20260811_201825
SCHW_FQ1_2026,SCHW,p2_charles_schwab,8.79,p2_nvidia,0.48,False,,attr_check_20260811_201825
