document_id,ticker,report_date,group,correct
ABNB_FQ1_2026,ABNB,2026-05-07,post,0
ABNB_FQ2_2025,ABNB,2025-08-06,post,0
ABNB_FQ3_2025,ABNB,2025-11-06,post,0
ABNB_FQ4_2025,ABNB,2026-02-12,post,1
AMZN_FQ1_2026,AMZN,2026-04-29,post,1
AMZN_FQ3_2025,AMZN,2025-10-30,post,0
AMZN_FQ4_2025,AMZN,2026-02-05,post,1
AMD_FQ1_2026,AMD,2026-05-05,post,1
AMD_FQ2_2025,AMD,2025-08-05,post,1
AMD_FQ4_2025,AMD,2026-02-03,post,0
AAPL_FQ1_2026,AAPL,2026-01-29,post,1
AAPL_FQ3_2025,AAPL,2025-07-31,post,0
AAPL_FQ4_2025,AAPL,2025-10-30,post,0
CVS_FQ1_2026,CVS,2026-05-06,post,0
CVS_FQ2_2025,CVS,2025-07-31,post,1
CVS_FQ3_2025,CVS,2025-10-29,post,0
CVS_FQ4_2025,CVS,2026-02-10,post,1
SCHW_FQ1_2025,SCHW,2025-04-16,post,0
SCHW_FQ1_2026,SCHW,2026-04-15,post,0
SCHW_FQ2_2025,SCHW,2025-07-17,post,0
SCHW_FQ3_2025,SCHW,2025-10-15,post,0
SCHW_FQ4_2025,SCHW,2026-01-20,post,0
C_FQ1_2025,C,2025-04-15,post,0
C_FQ2_2025,C,2025-07-15,post,0
C_FQ3_2025,C,2025-10-14,post,0
C_FQ4_2025,C,2026-01-14,post,0
KO_FQ1_2026,KO,2026-04-28,post,1
KO_FQ2_2025,KO,2025-07-22,post,1
KO_FQ4_2025,KO,2026-02-10,post,0
COIN_FQ1_2026,COIN,2026-05-07,post,0
COIN_FQ3_2025,COIN,2025-10-30,post,0
COIN_FQ4_2025,COIN,2026-02-12,post,0
LLY_FQ1_2026,LLY,2026-04-29,post,1
LLY_FQ3_2025,LLY,2025-10-29,post,1
LLY_FQ4_2025,LLY,2026-02-03,post,0
GS_FQ1_2025,GS,2025-04-11,post,0
GS_FQ1_2026,GS,2026-04-10,post,0
GS_FQ2_2025,GS,2025-07-15,post,1
