rater,report_date,ticker,decision,gap,net,equity
LLM (DeepSeek),2025-01-21,NFLX,BUY,0.1475,0.1465,1.1465
LLM (DeepSeek),2025-02-05,AMKBY,HOLD,0.02,0.0,1.1465
LLM (DeepSeek),2025-02-10,MCD,HOLD,-0.0034,-0.0,1.1465
LLM (DeepSeek),2025-03-20,NKE,SELL,-0.0734,0.0724,1.2295
LLM (DeepSeek),2025-04-11,JPM,SELL,0.0038,-0.0048,1.2236
LLM (DeepSeek),2025-04-14,GS,HOLD,0.0068,0.0,1.2236
LLM (DeepSeek),2025-04-15,C,HOLD,-0.0197,-0.0,1.2236
LLM (DeepSeek),2025-04-15,BAC,HOLD,-0.0032,-0.0,1.2236
LLM (DeepSeek),2025-04-17,SCHW,HOLD,-0.0068,-0.0,1.2236
LLM (DeepSeek),2025-04-17,NFLX,HOLD,0.0117,0.0,1.2236
LLM (DeepSeek),2025-04-23,BA,BUY,-0.0068,-0.0078,1.2141
LLM (DeepSeek),2025-05-07,UBER,HOLD,0.0026,0.0,1.2141
LLM (DeepSeek),2025-05-07,DIS,HOLD,0.0184,0.0,1.2141
LLM (DeepSeek),2025-05-15,WMT,HOLD,-0.0022,-0.0,1.2141
LLM (DeepSeek),2025-05-21,LOW,HOLD,-0.0057,-0.0,1.2141
LLM (DeepSeek),2025-05-21,TGT,SELL,-0.009,0.008,1.2238
LLM (DeepSeek),2025-05-28,NVDA,SELL,0.0552,-0.0562,1.155
LLM (DeepSeek),2025-06-26,NKE,SELL,0.116,-0.117,1.0199
LLM (DeepSeek),2025-07-15,C,HOLD,0.0083,0.0,1.0199
LLM (DeepSeek),2025-07-15,JPM,BUY,0.0065,0.0055,1.0255
LLM (DeepSeek),2025-07-16,GS,HOLD,-0.0036,-0.0,1.0255
LLM (DeepSeek),2025-07-16,BAC,HOLD,-0.0084,-0.0,1.0255
LLM (DeepSeek),2025-07-17,NFLX,BUY,-0.0253,-0.0263,0.9985
LLM (DeepSeek),2025-07-18,SCHW,BUY,0.0023,0.0013,0.9999
LLM (DeepSeek),2025-07-22,KO,HOLD,0.0,0.0,0.9999
LLM (DeepSeek),2025-07-23,IBM,BUY,-0.0736,-0.0746,0.9252
LLM (DeepSeek),2025-07-29,BA,HOLD,0.0078,0.0,0.9252
LLM (DeepSeek),2025-07-31,AAPL,HOLD,0.0159,0.0,0.9252
LLM (DeepSeek),2025-08-05,AMD,SELL,-0.0531,0.0521,0.9734
LLM (DeepSeek),2025-08-06,ABNB,HOLD,-0.0775,-0.0,0.9734
LLM (DeepSeek),2025-08-06,UBER,HOLD,0.0168,0.0,0.9734
LLM (DeepSeek),2025-08-07,AMKBY,BUY,0.0087,0.0077,0.9809
LLM (DeepSeek),2025-08-20,LOW,HOLD,-0.0041,-0.0,0.9809
LLM (DeepSeek),2025-08-20,TGT,HOLD,-0.0021,-0.0,0.9809
LLM (DeepSeek),2025-08-21,WMT,HOLD,0.0011,0.0,0.9809
LLM (DeepSeek),2025-08-27,NVDA,HOLD,-0.0043,-0.0,0.9809
LLM (DeepSeek),2025-09-30,NKE,SELL,0.0663,-0.0673,0.9149
LLM (DeepSeek),2025-10-14,C,HOLD,0.0135,0.0,0.9149
LLM (DeepSeek),2025-10-14,GS,BUY,0.0102,0.0092,0.9233
LLM (DeepSeek),2025-10-14,JPM,HOLD,0.0143,0.0,0.9233
LLM (DeepSeek),2025-10-15,BAC,HOLD,0.006,0.0,0.9233
LLM (DeepSeek),2025-10-16,SCHW,HOLD,0.0141,0.0,0.9233
LLM (DeepSeek),2025-10-21,NFLX,HOLD,-0.0793,-0.0,0.9233
LLM (DeepSeek),2025-10-22,TSLA,BUY,-0.0432,-0.0442,0.8825
LLM (DeepSeek),2025-10-29,META,SELL,-0.1098,0.1088,0.9785
LLM (DeepSeek),2025-10-29,BA,SELL,-0.0167,0.0157,0.9939
LLM (DeepSeek),2025-10-30,AMZN,SELL,0.1222,-0.1232,0.8714
LLM (DeepSeek),2025-10-30,AAPL,BUY,0.0206,0.0196,0.8885
LLM (DeepSeek),2025-10-30,COIN,BUY,0.0228,0.0218,0.9079
LLM (DeepSeek),2025-10-30,LLY,SELL,-0.0063,0.0053,0.9127
LLM (DeepSeek),2025-11-06,ABNB,HOLD,0.0412,0.0,0.9127
LLM (DeepSeek),2025-11-06,AMKBY,BUY,0.001,0.0,0.9128
LLM (DeepSeek),2025-11-13,DIS,HOLD,-0.0008,-0.0,0.9128
LLM (DeepSeek),2025-11-19,LOW,HOLD,-0.0014,-0.0,0.9128
LLM (DeepSeek),2025-11-19,NVDA,BUY,0.0506,0.0496,0.958
LLM (DeepSeek),2025-11-19,TGT,SELL,0.0008,-0.0018,0.9562
LLM (DeepSeek),2025-11-20,WMT,BUY,0.0081,0.0071,0.963
LLM (DeepSeek),2025-12-11,LULU,SELL,0.094,-0.095,0.8716
LLM (DeepSeek),2026-01-13,JPM,HOLD,-0.0087,-0.0,0.8716
LLM (DeepSeek),2026-01-14,C,HOLD,0.0128,0.0,0.8716
LLM (DeepSeek),2026-01-14,BAC,HOLD,0.0044,0.0,0.8716
LLM (DeepSeek),2026-01-15,GS,BUY,-0.0029,-0.0039,0.8682
LLM (DeepSeek),2026-01-20,NFLX,BUY,-0.0543,-0.0553,0.8201
LLM (DeepSeek),2026-01-21,SCHW,BUY,0.0127,0.0117,0.8297
LLM (DeepSeek),2026-01-28,IBM,BUY,0.0806,0.0796,0.8957
