round_trip_bps,slippage_bps,total_cost_bps,n_trades,hit_rate,total_return_pct,avg_net_per_trade_pct
10,0,10,171,0.6257,1243.64,1.7193
10,10,20,171,0.5906,1034.93,1.6193
10,20,30,171,0.5848,858.48,1.5193
20,0,20,171,0.5906,1034.93,1.6193
20,10,30,171,0.5848,858.48,1.5193
20,20,40,171,0.5439,709.32,1.4193
30,0,30,171,0.5848,858.48,1.5193
30,10,40,171,0.5439,709.32,1.4193
30,20,50,171,0.5263,583.26,1.3193
50,0,50,171,0.5263,583.26,1.3193
50,10,60,171,0.5205,476.74,1.2193
50,20,70,171,0.5088,386.75,1.1193
