company,ticker,year,quarter,event_key,us_non_us,folder_path,filename,doc_types_needed,manifest_exists,docs_on_disk
Adobe,ADBE,2025,Q3,ADBE_FQ3_2025,US,docs/adobe/CY2025-Q3/,ADBE_Q3_2025_Press_Release.htm,Press Release,NO,NO
Adobe,ADBE,2025,Q4,ADBE_FQ4_2025,US,docs/adobe/CY2025-Q4/,ADBE_Q4_2025_Press_Release.htm,Press Release,NO,NO
Adobe,ADBE,2026,Q1,ADBE_FQ1_2026,US,docs/adobe/CY2026-Q1/,ADBE_Q1_2026_Press_Release.htm,Press Release,NO,NO
Adobe,ADBE,2026,Q2,ADBE_FQ2_2026,US,docs/adobe/CY2026-Q2/,ADBE_Q2_2026_Press_Release.htm,Press Release,NO,NO
American Express,AXP,2025,Q2,AXP_FQ2_2025,US,docs/american_express/CY2025-Q2/,AXP_Q2_2025_Press_Release.htm,Press Release,NO,NO
American Express,AXP,2025,Q3,AXP_FQ3_2025,US,docs/american_express/CY2025-Q3/,AXP_Q3_2025_Press_Release.htm,Press Release,NO,NO
American Express,AXP,2025,Q4,AXP_FQ4_2025,US,docs/american_express/CY2025-Q4/,AXP_Q4_2025_Press_Release.htm,Press Release,NO,NO
American Express,AXP,2026,Q1,AXP_FQ1_2026,US,docs/american_express/CY2026-Q1/,AXP_Q1_2026_Press_Release.htm,Press Release,NO,NO
Colgate-Palmolive,CL,2025,Q3,CL_FQ3_2025,US,docs/colgate_palmolive/CY2025-Q3/,CL_Q3_2025_Press_Release.htm,Press Release,YES,YES
Colgate-Palmolive,CL,2025,Q4,CL_FQ4_2025,US,docs/colgate_palmolive/CY2025-Q4/,CL_Q4_2025_Press_Release.htm,Press Release,YES,YES
Colgate-Palmolive,CL,2026,Q1,CL_FQ1_2026,US,docs/colgate_palmolive/CY2026-Q1/,CL_Q1_2026_Press_Release.htm,Press Release,YES,YES
Colgate-Palmolive,CL,2026,Q2,CL_FQ2_2026,US,docs/colgate_palmolive/CY2026-Q2/,CL_Q2_2026_Press_Release.htm,Press Release,YES,YES
Costco,COST,2025,Q4,COST_FQ4_2025,US,docs/costco/CY2025-Q4/,COST_Q4_2025_Press_Release.htm,Press Release,YES,YES
Costco,COST,2026,Q1,COST_FQ1_2026,US,docs/costco/CY2026-Q1/,COST_Q1_2026_Press_Release.htm,Press Release,YES,YES
Costco,COST,2026,Q2,COST_FQ2_2026,US,docs/costco/CY2026-Q2/,COST_Q2_2026_Press_Release.htm,Press Release,YES,YES
Costco,COST,2026,Q3,COST_FQ3_2026,US,docs/costco/CY2026-Q3/,COST_Q3_2026_Press_Release.htm,Press Release,YES,NO
Chevron,CVX,2025,Q2,CVX_FQ2_2025,US,docs/chevron/CY2025-Q2/,CVX_Q2_2025_Press_Release.htm,Press Release,NO,NO
Chevron,CVX,2025,Q3,CVX_FQ3_2025,US,docs/chevron/CY2025-Q3/,CVX_Q3_2025_Press_Release.htm,Press Release,NO,NO
Chevron,CVX,2025,Q4,CVX_FQ4_2025,US,docs/chevron/CY2025-Q4/,CVX_Q4_2025_Press_Release.htm,Press Release,NO,NO
Chevron,CVX,2026,Q1,CVX_FQ1_2026,US,docs/chevron/CY2026-Q1/,CVX_Q1_2026_Press_Release.htm,Press Release,NO,NO
Datadog,DDOG,2025,Q2,DDOG_FQ2_2025,US,docs/datadog/CY2025-Q2/,DDOG_Q2_2025_Press_Release.htm,Press Release,NO,NO
Datadog,DDOG,2025,Q3,DDOG_FQ3_2025,US,docs/datadog/CY2025-Q3/,DDOG_Q3_2025_Press_Release.htm,Press Release,NO,NO
Datadog,DDOG,2025,Q4,DDOG_FQ4_2025,US,docs/datadog/CY2025-Q4/,DDOG_Q4_2025_Press_Release.htm,Press Release,NO,NO
Datadog,DDOG,2026,Q1,DDOG_FQ1_2026,US,docs/datadog/CY2026-Q1/,DDOG_Q1_2026_Press_Release.htm,Press Release,NO,NO
Duke Energy,DUK,2023,Q1,DUK_FQ1_2023,US,docs/duke_energy/CY2023-Q1/,DUK_Q1_2023_Press_Release.htm,Press Release,NO,NO
Duke Energy,DUK,2023,Q2,DUK_FQ2_2023,US,docs/duke_energy/CY2023-Q2/,DUK_Q2_2023_Press_Release.htm,Press Release,NO,NO
Duke Energy,DUK,2023,Q3,DUK_FQ3_2023,US,docs/duke_energy/CY2023-Q3/,DUK_Q3_2023_Press_Release.htm,Press Release,NO,NO
Duke Energy,DUK,2023,Q4,DUK_FQ4_2023,US,docs/duke_energy/CY2023-Q4/,DUK_Q4_2023_Press_Release.htm,Press Release,NO,NO
Duke Energy,DUK,2024,Q1,DUK_FQ1_2024,US,docs/duke_energy/CY2024-Q1/,DUK_Q1_2024_Press_Release.htm,Press Release,NO,NO
Duke Energy,DUK,2024,Q2,DUK_FQ2_2024,US,docs/duke_energy/CY2024-Q2/,DUK_Q2_2024_Press_Release.htm,Press Release,NO,NO
Duke Energy,DUK,2024,Q3,DUK_FQ3_2024,US,docs/duke_energy/CY2024-Q3/,DUK_Q3_2024_Press_Release.htm,Press Release,NO,NO
Duke Energy,DUK,2024,Q4,DUK_FQ4_2024,US,docs/duke_energy/CY2024-Q4/,DUK_Q4_2024_Press_Release.htm,Press Release,NO,NO
Duke Energy,DUK,2025,Q1,DUK_FQ1_2025,US,docs/duke_energy/CY2025-Q1/,DUK_Q1_2025_Press_Release.htm,Press Release,NO,NO
