# FinBERT baseline on extension corpus
# N=93 extension events
# Graded (|ret|>2%): 34
# FinBERT thresholds (phase2 dev, frozen): upper=0.20663980, lower=-0.13032883
# Grading band: +-2% raw overnight (pre-registered)
# Extension is pure eval; no dev refitting.
document_id,ticker,report_date,ret_overnight,outcome_label,finbert_score,finbert_n_chunks,finbert_predicted_signal,finbert_correct,model_predicted_signal,model_correct
ADBE_FQ1_2026,ADBE,2026-03-12,-0.077,SELL,0.212255,61,BUY,0,HOLD,0
ADBE_FQ2_2026,ADBE,2026-06-11,-0.075,SELL,0.164338,65,HOLD,0,HOLD,0
ADBE_FQ3_2025,ADBE,2025-09-11,0.0301,BUY,0.154659,63,HOLD,0,BUY,1
ADBE_FQ4_2025,ADBE,2025-12-10,-0.0043,HOLD,0.216164,59,BUY,,HOLD,
AXP_FQ1_2026,AXP,2026-04-23,-0.0021,HOLD,0.410813,30,BUY,,HOLD,
AXP_FQ2_2025,AXP,2025-07-18,-0.0111,HOLD,0.162894,40,HOLD,,HOLD,
AXP_FQ3_2025,AXP,2025-10-17,0.0287,BUY,0.349514,31,BUY,1,BUY,1
AXP_FQ4_2025,AXP,2026-01-30,-0.0098,HOLD,0.348081,33,BUY,,HOLD,
CVX_FQ1_2026,CVX,2026-05-01,-0.0104,HOLD,0.129707,35,HOLD,,HOLD,
CVX_FQ2_2025,CVX,2025-08-01,0.0059,HOLD,0.126543,35,HOLD,,HOLD,
CVX_FQ3_2025,CVX,2025-10-31,0.0144,HOLD,0.11123,35,HOLD,,BUY,
CVX_FQ4_2025,CVX,2026-01-30,0.0084,HOLD,0.182984,41,HOLD,,HOLD,
CL_FQ1_2026,CL,2026-04-24,0.01,HOLD,-0.020285,13,HOLD,,SELL,
CL_FQ2_2026,CL,2026-07-31,-0.0082,HOLD,0.026351,16,HOLD,,HOLD,
CL_FQ3_2025,CL,2025-10-31,-0.0125,HOLD,-0.044082,16,HOLD,,SELL,
CL_FQ4_2025,CL,2026-01-30,0.0406,BUY,-0.07523,18,HOLD,0,HOLD,0
COST_FQ1_2026,COST,2025-12-11,-0.0013,HOLD,0.340336,37,BUY,,HOLD,
COST_FQ2_2026,COST,2026-03-05,-0.0158,HOLD,0.341512,36,BUY,,HOLD,
COST_FQ3_2026,COST,2026-05-28,-0.0087,HOLD,0.333839,31,BUY,,HOLD,
COST_FQ4_2025,COST,2025-09-25,-0.0188,HOLD,0.371786,34,BUY,,HOLD,
DDOG_FQ1_2026,DDOG,2026-05-07,0.3081,BUY,0.192971,36,HOLD,0,HOLD,0
DDOG_FQ2_2025,DDOG,2025-08-07,0.0788,BUY,0.041886,16,HOLD,0,HOLD,0
DDOG_FQ3_2025,DDOG,2025-11-06,0.1543,BUY,0.145433,44,HOLD,0,BUY,1
DDOG_FQ4_2025,DDOG,2026-02-10,0.0892,BUY,0.169905,44,HOLD,0,HOLD,0
DUK_FQ1_2023,DUK,2023-05-09,-0.0119,HOLD,0.080655,44,HOLD,,HOLD,
DUK_FQ1_2024,DUK,2024-05-07,0.0058,HOLD,0.107599,59,HOLD,,HOLD,
DUK_FQ1_2025,DUK,2025-05-06,0.0104,HOLD,0.119397,44,HOLD,,HOLD,
DUK_FQ1_2026,DUK,2026-05-05,0.0114,HOLD,0.163102,48,HOLD,,HOLD,
DUK_FQ2_2023,DUK,2023-08-08,0.0069,HOLD,0.025972,80,HOLD,,SELL,
DUK_FQ2_2024,DUK,2024-08-06,0.0133,HOLD,0.039486,56,HOLD,,HOLD,
DUK_FQ2_2025,DUK,2025-08-05,0.0225,BUY,0.081379,57,HOLD,0,HOLD,0
DUK_FQ3_2023,DUK,2023-11-02,-0.0004,HOLD,0.047169,78,HOLD,,HOLD,
DUK_FQ3_2024,DUK,2024-11-07,-0.0087,HOLD,0.05177,67,HOLD,,SELL,
DUK_FQ3_2025,DUK,2025-11-07,0.0008,HOLD,0.091046,59,HOLD,,BUY,
DUK_FQ4_2023,DUK,2024-02-08,-0.008,HOLD,0.090304,65,HOLD,,BUY,
DUK_FQ4_2024,DUK,2025-02-13,-0.0092,HOLD,0.090329,66,HOLD,,BUY,
DUK_FQ4_2025,DUK,2026-02-10,0.0039,HOLD,0.064225,65,HOLD,,BUY,
EBAY_FQ1_2025,EBAY,2025-04-30,0.0277,BUY,0.070712,15,HOLD,0,SELL,0
EBAY_FQ1_2026,EBAY,2026-04-29,-0.0358,SELL,0.076633,16,HOLD,0,HOLD,0
EBAY_FQ2_2025,EBAY,2025-07-30,0.1372,BUY,0.062727,16,HOLD,0,HOLD,0
EBAY_FQ3_2025,EBAY,2025-10-29,-0.14,SELL,0.048013,17,HOLD,0,BUY,0
XOM_FQ1_2023,XOM,2023-04-28,0.0036,HOLD,0.070656,43,HOLD,,HOLD,
