issuer,document_id,ticker,report_date,micro_score,macro_score,news_score,quant_score,forward_return,window_trading_days,outcome_label,predicted_signal_default,correct_default,predicted_signal_tuned,correct_tuned,tuned_hold_upper,blend_predicted_signal_default,blend_correct_default,blend_predicted_signal_tuned,blend_correct_tuned,blend_tuned_weights
boeing,BA_FQ1_2021,BA,2021-04-28,0.15,,,-0.496388,-0.030918,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ1_2022,BA,2022-04-27,-0.5,,,-0.824348,0.01625,5,HOLD,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ1_2023,BA,2023-04-26,-0.15,,,-0.263526,-0.010343,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ1_2024,BA,2024-04-24,-0.5,,,0.085594,0.043388,5,BUY,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ1_2025,BA,2025-04-23,0.2,-0.3,0.3,0.230633,0.063062,5,BUY,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ1_2026,BA,2026-04-22,0.2,-0.3,,0.834301,-0.031001,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ2_2021,BA,2021-07-28,0.2,,,0.197556,-0.021333,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ2_2022,BA,2022-07-27,0.2,,,-0.204946,0.067589,5,BUY,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ2_2023,BA,2023-07-26,0.2,,,0.296776,-0.0061,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ2_2024,BA,2024-07-31,-0.5,,,-0.383794,-0.143547,5,SELL,SELL,True,SELL,True,0.25,SELL,True,SELL,True,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ2_2025,BA,2025-07-29,0.25,0.1,0.2,0.449476,-0.005396,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ3_2021,BA,2021-10-27,0.15,,,-0.701313,0.032767,5,BUY,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ3_2022,BA,2022-10-26,-0.5,,,-0.116924,0.101801,5,BUY,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ3_2023,BA,2023-10-25,-0.5,,,-0.631401,0.065549,5,BUY,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ3_2024,BA,2024-10-23,-0.85,,,-0.252421,-0.017637,5,HOLD,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ3_2025,BA,2025-10-29,-0.5,0.3,0.3,-0.405191,-0.074726,5,SELL,SELL,True,SELL,True,0.25,SELL,True,SELL,True,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ4_2020,BA,2021-01-27,-0.5,,,-0.744595,0.068855,5,BUY,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ4_2021,BA,2022-01-26,-0.5,,,-0.501958,0.068204,5,BUY,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ4_2022,BA,2023-01-25,0.2,,,-0.252169,0.009733,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ4_2023,BA,2024-01-31,-0.5,,,0.006107,0.00417,5,HOLD,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ4_2024,BA,2025-01-28,-0.5,,,-0.536201,-0.008719,5,HOLD,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ4_2025,BA,2026-01-27,0.25,0.25,-0.15,0.874543,-0.046655,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ1_2021,JPM,2021-04-14,0.25,,,0.457403,-0.004431,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ1_2022,JPM,2022-04-13,-0.1,,,0.003009,0.025609,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ1_2023,JPM,2023-04-14,0.3,,,0.237691,0.013047,5,HOLD,BUY,False,BUY,False,0.25,BUY,False,BUY,False,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ1_2024,JPM,2024-04-12,0.0,,,0.259841,0.016467,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ1_2025,JPM,2025-04-11,-0.5,-0.3,-0.25,0.184149,-0.030525,5,SELL,SELL,True,SELL,True,0.25,SELL,True,SELL,True,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ1_2026,JPM,2026-04-14,0.15,-0.3,,0.472312,0.006043,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ2_2021,JPM,2021-07-13,0.15,,,0.290566,-0.038163,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ2_2022,JPM,2022-07-14,-0.15,,,-0.271429,0.067778,5,BUY,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
