issuer,document_id,ticker,report_date,micro_score,macro_score,news_score,quant_score,forward_return,window_trading_days,outcome_label,predicted_signal_default,correct_default,predicted_signal_tuned,correct_tuned,tuned_hold_upper,blend_predicted_signal_default,blend_correct_default,blend_predicted_signal_tuned,blend_correct_tuned,blend_tuned_weights
p2_adobe_ext2026_08_13,ADBE_FQ1_2026,ADBE,2026-03-12,0.1,-0.1,,,-0.088183,5,SELL,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_adobe_ext2026_08_13,ADBE_FQ2_2026,ADBE,2026-06-11,0.35,-0.3,,,-0.108044,5,SELL,BUY,False,BUY,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_adobe_ext2026_08_13,ADBE_FQ3_2025,ADBE,2025-09-11,0.55,0.0,,,0.048238,5,BUY,BUY,True,BUY,True,0.3,BUY,True,BUY,True,"(0.6, 0.2, 0.0, 0.2)"
p2_adobe_ext2026_08_13,ADBE_FQ4_2025,ADBE,2025-12-10,0.3,0.1,,,0.033602,5,BUY,BUY,True,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_american_express_ext2026_08_13,AXP_FQ1_2026,AXP,2026-04-23,0.25,-0.3,,,-0.051817,5,SELL,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_american_express_ext2026_08_13,AXP_FQ2_2025,AXP,2025-07-18,0.1,0.1,,,-0.022515,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_american_express_ext2026_08_13,AXP_FQ3_2025,AXP,2025-10-17,0.55,0.3,,,0.098446,5,BUY,BUY,True,BUY,True,0.3,BUY,True,BUY,True,"(0.6, 0.2, 0.0, 0.2)"
p2_american_express_ext2026_08_13,AXP_FQ4_2025,AXP,2026-01-30,0.25,0.25,,,-0.010823,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_chevron_ext2026_08_13,CVX_FQ1_2026,CVX,2026-05-01,0.2,-0.3,,,-0.055921,5,SELL,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_chevron_ext2026_08_13,CVX_FQ2_2025,CVX,2025-08-01,0.35,0.1,,,0.010024,5,HOLD,BUY,False,BUY,False,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_chevron_ext2026_08_13,CVX_FQ3_2025,CVX,2025-10-31,0.25,0.3,,,-0.003778,5,HOLD,HOLD,True,HOLD,True,0.3,BUY,False,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_chevron_ext2026_08_13,CVX_FQ4_2025,CVX,2026-01-30,0.25,0.25,,,0.046965,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_colgate_palmolive_ext2026_08_13,CL_FQ1_2026,CL,2026-04-24,-0.1,-0.3,,,0.019589,5,HOLD,SELL,False,HOLD,True,0.3,SELL,False,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_colgate_palmolive_ext2026_08_13,CL_FQ2_2026,CL,2026-07-31,0.25,-0.3,,,0.015284,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_colgate_palmolive_ext2026_08_13,CL_FQ3_2025,CL,2025-10-31,-0.5,0.3,,,0.009933,5,HOLD,SELL,False,SELL,False,0.3,SELL,False,SELL,False,"(0.8, 0.2, 0.0, -0.0)"
p2_colgate_palmolive_ext2026_08_13,CL_FQ4_2025,CL,2026-01-30,0.15,0.25,,,0.113092,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_costco_ext2026_08_13,COST_FQ1_2026,COST,2025-12-11,0.25,0.1,,,-0.030402,5,SELL,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_costco_ext2026_08_13,COST_FQ2_2026,COST,2026-03-05,0.25,-0.1,,,0.021118,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_costco_ext2026_08_13,COST_FQ3_2026,COST,2026-05-28,0.2,-0.3,,,-0.02296,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_costco_ext2026_08_13,COST_FQ4_2025,COST,2025-09-25,0.25,0.0,,,-0.028135,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_datadog_ext2026_08_13,DDOG_FQ1_2026,DDOG,2026-05-07,0.55,-0.3,,,0.428641,5,BUY,BUY,True,BUY,True,0.3,HOLD,False,HOLD,False,"(0.6, 0.4, 0.0, 0.0)"
p2_datadog_ext2026_08_13,DDOG_FQ2_2025,DDOG,2025-08-07,0.25,0.1,,,-0.060237,5,SELL,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_datadog_ext2026_08_13,DDOG_FQ3_2025,DDOG,2025-11-06,0.55,0.3,,,0.231707,5,BUY,BUY,True,BUY,True,0.3,BUY,True,BUY,True,"(0.6, 0.2, 0.0, 0.2)"
p2_datadog_ext2026_08_13,DDOG_FQ4_2025,DDOG,2026-02-10,0.25,0.25,,,0.074993,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_duke_energy_ext2026_08_13,DUK_FQ1_2023,DUK,2023-05-09,0.0,,,,-0.031384,5,SELL,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_duke_energy_ext2026_08_13,DUK_FQ1_2024,DUK,2024-05-07,0.15,,,,0.000489,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_duke_energy_ext2026_08_13,DUK_FQ1_2025,DUK,2025-05-06,0.2,-0.3,,,-0.080283,5,SELL,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_duke_energy_ext2026_08_13,DUK_FQ1_2026,DUK,2026-05-05,0.25,-0.3,,,-0.019674,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_duke_energy_ext2026_08_13,DUK_FQ2_2023,DUK,2023-08-08,-0.1,,,,-0.007489,5,HOLD,SELL,False,HOLD,True,0.3,SELL,False,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_duke_energy_ext2026_08_13,DUK_FQ2_2024,DUK,2024-08-06,0.2,,,,0.007085,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_duke_energy_ext2026_08_13,DUK_FQ2_2025,DUK,2025-08-05,0.25,0.1,,,0.00379,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_duke_energy_ext2026_08_13,DUK_FQ3_2023,DUK,2023-11-02,0.15,,,,-0.021471,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_duke_energy_ext2026_08_13,DUK_FQ3_2024,DUK,2024-11-07,-0.1,,,,-0.003601,5,HOLD,SELL,False,HOLD,True,0.3,SELL,False,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_duke_energy_ext2026_08_13,DUK_FQ3_2025,DUK,2025-11-07,0.3,0.3,,,0.000943,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_duke_energy_ext2026_08_13,DUK_FQ4_2023,DUK,2024-02-08,0.3,,,,0.008184,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_duke_energy_ext2026_08_13,DUK_FQ4_2024,DUK,2025-02-13,0.35,,,,0.023427,5,HOLD,BUY,False,BUY,False,0.3,BUY,False,BUY,False,"(0.6, 0.2, 0.0, 0.2)"
p2_duke_energy_ext2026_08_13,DUK_FQ4_2025,DUK,2026-02-10,0.55,0.25,,,0.021568,5,HOLD,BUY,False,BUY,False,0.3,BUY,False,BUY,False,"(0.6, 0.2, 0.0, 0.2)"
p2_ebay_ext2026_08_13,EBAY_FQ1_2025,EBAY,2025-04-30,0.15,-0.3,,,0.023474,5,HOLD,HOLD,True,HOLD,True,0.3,SELL,False,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_ebay_ext2026_08_13,EBAY_FQ1_2026,EBAY,2026-04-29,0.25,-0.3,,,0.042008,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_ebay_ext2026_08_13,EBAY_FQ2_2025,EBAY,2025-07-30,0.15,0.1,,,0.193141,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_ebay_ext2026_08_13,EBAY_FQ3_2025,EBAY,2025-10-29,0.25,0.3,,,-0.186156,5,SELL,HOLD,False,HOLD,False,0.3,BUY,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_exxonmobil_ext2026_08_13,XOM_FQ1_2023,XOM,2023-04-28,0.2,,,,-0.092356,5,SELL,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_exxonmobil_ext2026_08_13,XOM_FQ1_2024,XOM,2024-04-26,0.2,,,,-0.041952,5,SELL,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_exxonmobil_ext2026_08_13,XOM_FQ1_2025,XOM,2025-05-02,0.2,-0.3,,,0.002741,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_exxonmobil_ext2026_08_13,XOM_FQ1_2026,XOM,2026-05-01,0.25,-0.3,,,-0.050217,5,SELL,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_exxonmobil_ext2026_08_13,XOM_FQ2_2023,XOM,2023-07-28,0.15,,,,0.016126,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_exxonmobil_ext2026_08_13,XOM_FQ2_2024,XOM,2024-08-02,0.25,,,,0.008038,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_exxonmobil_ext2026_08_13,XOM_FQ2_2025,XOM,2025-08-01,0.2,0.1,,,-0.050967,5,SELL,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
p2_exxonmobil_ext2026_08_13,XOM_FQ3_2023,XOM,2023-10-27,0.25,,,,0.014033,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.2, 0.0, 0.2)"
p2_exxonmobil_ext2026_08_13,XOM_FQ3_2024,XOM,2024-11-01,0.25,,,,0.037421,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.2, 0.0, 0.2)"
