issuer,document_id,ticker,report_date,micro_score,macro_score,news_score,quant_score,forward_return,window_trading_days,outcome_label,predicted_signal_default,correct_default,predicted_signal_tuned,correct_tuned,tuned_hold_upper,blend_predicted_signal_default,blend_correct_default,blend_predicted_signal_tuned,blend_correct_tuned,blend_tuned_weights
p2_airbnb,ABNB_FQ1_2026,ABNB,2026-05-07,0.5,-0.3,-0.15,0.074814,-0.048341,5,SELL,BUY,False,BUY,False,0.3,BUY,False,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_airbnb,ABNB_FQ2_2025,ABNB,2025-08-06,0.2,0.1,-0.1,0.014899,-0.045594,5,SELL,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_airbnb,ABNB_FQ3_2025,ABNB,2025-11-06,0.25,0.3,0.0,-0.020892,0.005476,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.6, 0.0, 0.4, 0.0)"
p2_airbnb,ABNB_FQ4_2025,ABNB,2026-02-12,0.55,0.25,0.0,-0.638827,0.10288,5,BUY,BUY,True,BUY,True,0.3,BUY,True,BUY,True,"(0.6, 0.0, 0.4, 0.0)"
p2_amazon,AMZN_FQ1_2026,AMZN,2026-04-29,0.8,-0.3,-0.2,0.978678,0.04543,5,BUY,BUY,True,BUY,True,0.3,BUY,True,BUY,True,"(0.6, 0.0, 0.4, 0.0)"
p2_amazon,AMZN_FQ3_2025,AMZN,2025-10-30,-0.55,0.3,0.0,0.539832,0.09055,5,BUY,SELL,False,SELL,False,0.3,SELL,False,SELL,False,"(0.6, 0.0, 0.4, 0.0)"
p2_amazon,AMZN_FQ4_2025,AMZN,2026-02-05,-0.3,0.25,-0.2,0.003399,-0.103687,5,SELL,SELL,True,HOLD,False,0.3,SELL,True,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_amd,AMD_FQ1_2026,AMD,2026-05-05,0.8,-0.3,-0.3,0.613844,0.261865,5,BUY,BUY,True,BUY,True,0.3,BUY,True,BUY,True,"(0.6, 0.0, 0.4, 0.0)"
p2_amd,AMD_FQ2_2025,AMD,2025-08-05,0.3,0.1,0.15,0.466203,0.003672,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.6, 0.0, 0.4, 0.0)"
p2_amd,AMD_FQ4_2025,AMD,2026-02-03,0.75,0.25,0.15,0.662883,-0.11788,5,SELL,BUY,False,BUY,False,0.3,BUY,False,BUY,False,"(0.6, 0.0, 0.4, 0.0)"
p2_apple,AAPL_FQ1_2026,AAPL,2026-01-29,0.3,0.25,0.0,-0.073285,0.068259,5,BUY,BUY,True,HOLD,False,0.3,BUY,True,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_apple,AAPL_FQ3_2025,AAPL,2025-07-31,0.15,0.1,0.0,0.243711,0.060028,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_apple,AAPL_FQ4_2025,AAPL,2025-10-30,0.3,0.3,0.2,0.277069,-0.006006,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.6, 0.0, 0.4, 0.0)"
p2_cvs_health,CVS_FQ1_2026,CVS,2026-05-06,0.5,-0.3,-0.15,0.603052,0.129519,5,BUY,BUY,True,BUY,True,0.3,BUY,True,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_cvs_health,CVS_FQ2_2025,CVS,2025-07-31,0.3,0.1,0.3,0.109487,0.023833,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.6, 0.0, 0.4, 0.0)"
p2_cvs_health,CVS_FQ3_2025,CVS,2025-10-29,0.3,0.3,0.25,0.591452,-0.025434,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.6, 0.0, 0.4, 0.0)"
p2_cvs_health,CVS_FQ4_2025,CVS,2026-02-10,0.15,0.25,-0.15,0.011993,0.027081,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.0, 0.4, 0.0)"
p2_charles_schwab,SCHW_FQ1_2025,SCHW,2025-04-16,0.3,-0.3,0.0,-0.016201,0.048613,5,BUY,BUY,True,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_charles_schwab,SCHW_FQ1_2026,SCHW,2026-04-15,0.3,-0.3,-0.3,0.26966,-0.085369,5,SELL,BUY,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_charles_schwab,SCHW_FQ2_2025,SCHW,2025-07-17,0.3,0.1,0.2,0.225592,0.03652,5,BUY,BUY,True,HOLD,False,0.3,BUY,True,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_charles_schwab,SCHW_FQ3_2025,SCHW,2025-10-15,0.3,0.3,-0.15,0.221258,-0.000212,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.6, 0.0, 0.4, 0.0)"
p2_charles_schwab,SCHW_FQ4_2025,SCHW,2026-01-20,0.5,0.25,-0.2,0.141283,0.027032,5,HOLD,BUY,False,BUY,False,0.3,BUY,False,HOLD,True,"(0.6, 0.0, 0.4, 0.0)"
p2_citigroup,C_FQ1_2025,C,2025-04-15,0.15,-0.3,0.15,-0.129659,0.030623,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_citigroup,C_FQ2_2025,C,2025-07-15,0.15,0.1,0.2,0.730696,0.036155,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_citigroup,C_FQ3_2025,C,2025-10-14,0.3,0.3,0.0,0.191295,-0.015925,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.6, 0.0, 0.4, 0.0)"
p2_citigroup,C_FQ4_2025,C,2026-01-14,0.3,0.25,0.0,-0.234196,0.028912,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.6, 0.0, 0.4, 0.0)"
p2_coca_cola,KO_FQ1_2026,KO,2026-04-28,0.3,-0.3,0.2,0.1489,0.001659,5,HOLD,BUY,False,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.0, 0.4, 0.0)"
p2_coca_cola,KO_FQ2_2025,KO,2025-07-22,0.2,0.1,-0.15,0.119284,-0.00402,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.6, 0.0, 0.4, 0.0)"
p2_coca_cola,KO_FQ4_2025,KO,2026-02-10,0.15,0.25,0.2,0.392886,0.034891,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_coinbase,COIN_FQ1_2026,COIN,2026-05-07,-0.35,-0.3,0.2,-0.150097,0.098725,5,BUY,SELL,False,SELL,False,0.3,SELL,False,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_coinbase,COIN_FQ3_2025,COIN,2025-10-30,0.3,0.3,0.2,0.537975,-0.101336,5,SELL,BUY,False,HOLD,False,0.3,BUY,False,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
p2_coinbase,COIN_FQ4_2025,COIN,2026-02-12,-0.1,0.25,0.2,-0.992801,0.214473,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.6, 0.0, 0.4, 0.0)"
