statistic,value,n,definition,event_set,convention,test,source_files
human_call_buy_count,95,170,Number of BUY calls by human arm,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_call_buy_frac,0.5588,170,Fraction of BUY calls by human arm,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_call_hold_count,40,170,Number of HOLD calls by human arm,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_call_hold_frac,0.2353,170,Fraction of HOLD calls by human arm,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_call_sell_count,35,170,Number of SELL calls by human arm,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_call_sell_frac,0.2059,170,Fraction of SELL calls by human arm,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_call_buy_count,72,170,Number of BUY calls by llm arm,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_call_buy_frac,0.4235,170,Fraction of BUY calls by llm arm,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_call_hold_count,53,170,Number of HOLD calls by llm arm,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_call_hold_frac,0.3118,170,Fraction of HOLD calls by llm arm,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_call_sell_count,45,170,Number of SELL calls by llm arm,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
