scope,dropped_key,n_dropped,n_remaining_trades,total_return_pct,delta_total_return_pct,avg_net_per_trade_pct,hit_rate,hit_rate_delta
FULL,(none),0,171,1265.55,0.0,1.7289,0.6257,0.0
TICKER,CMG,4,168,912.4,-353.15,1.5656,0.625,-0.0007
TICKER,META,3,168,941.39,-324.16,1.5908,0.619,-0.0067
TICKER,UNH,3,168,968.77,-296.78,1.6054,0.619,-0.0067
TICKER,ORCL,3,168,988.45,-277.1,1.5889,0.625,-0.0007
TICKER,DELL,3,168,1029.9,-235.65,1.6413,0.619,-0.0067
TICKER,NFLX,6,167,1055.73,-209.82,1.6605,0.6287,0.003
TICKER,MET,6,167,1073.79,-191.76,1.6771,0.6168,-0.0089
TICKER,NKE,3,168,1074.94,-190.61,1.6674,0.619,-0.0067
TICKER,LLY,3,168,1075.89,-189.66,1.6683,0.619,-0.0067
TICKER,EXPE,4,168,1086.37,-179.18,1.6676,0.625,-0.0007
QUARTER,2026-Q1,59,130,401.84,-863.71,1.4309,0.6,-0.0257
QUARTER,2025-Q3,54,150,665.56,-599.99,1.5291,0.6333,0.0076
QUARTER,2026-Q2,42,150,776.77,-488.78,1.6427,0.6267,0.001
QUARTER,2024-Q4,6,167,1062.38,-203.17,1.6707,0.6168,-0.0089
QUARTER,2025-Q2,32,148,1069.89,-195.66,1.8852,0.6284,0.0027
QUARTER,2025-Q1,9,164,1095.72,-169.83,1.713,0.628,0.0023
QUARTER,2025-Q4,55,125,1109.02,-156.53,2.2023,0.64,0.0143
QUARTER,2014-Q1,1,170,1228.0,-37.55,1.7224,0.6235,-0.0022
QUARTER,2023-Q2,1,170,1275.85,10.3,1.7435,0.6294,0.0037
QUARTER,2024-Q3,2,170,1275.42,9.87,1.7433,0.6294,0.0037
EVENT,ORCL 2025-09-09,1,170,934.02,-331.53,1.5505,0.6235,-0.0022
EVENT,PINS 2026-05-04,1,170,1577.85,312.3,1.8486,0.6294,0.0037
EVENT,PINS 2026-02-12,1,170,1013.76,-251.79,1.6061,0.6235,-0.0022
EVENT,CMG 2025-10-29,1,170,1026.2,-239.35,1.6141,0.6235,-0.0022
EVENT,ORCL 2025-12-10,1,170,1499.45,233.9,1.8251,0.6294,0.0037
EVENT,AMZN 2025-10-30,1,170,1457.48,191.93,1.8116,0.6294,0.0037
EVENT,UNH 2026-01-26,1,170,1074.16,-191.39,1.6432,0.6235,-0.0022
EVENT,AVGO 2025-09-04,1,170,1075.87,-189.68,1.6442,0.6235,-0.0022
EVENT,AMD 2026-05-05,1,170,1085.74,-179.81,1.6499,0.6235,-0.0022
EVENT,NFLX 2025-01-21,1,170,1091.04,-174.51,1.6529,0.6235,-0.0022
