scope,dropped_key,n_dropped,n_remaining_trades,total_return_pct,delta_total_return_pct,avg_net_per_trade_pct,hit_rate,hit_rate_delta
FULL,(none),0,171,1265.55,0.0,1.7289,0.6257,0.0
TICKER,CMG,4,168,912.4,-353.15,1.5656,0.625,-0.0007
TICKER,META,3,168,941.39,-324.16,1.5908,0.619,-0.0067
TICKER,UNH,3,168,968.77,-296.78,1.6054,0.619,-0.0067
TICKER,ORCL,3,168,988.45,-277.1,1.5889,0.625,-0.0007
TICKER,DELL,3,168,1029.9,-235.65,1.6413,0.619,-0.0067
TICKER,NFLX,6,167,1055.73,-209.82,1.6605,0.6287,0.003
TICKER,MET,6,167,1073.79,-191.76,1.6771,0.6168,-0.0089
TICKER,NKE,3,168,1074.94,-190.61,1.6674,0.619,-0.0067
TICKER,LLY,3,168,1075.89,-189.66,1.6683,0.619,-0.0067
TICKER,EXPE,4,168,1086.37,-179.18,1.6676,0.625,-0.0007
TICKER,ABNB,4,169,1104.84,-160.71,1.6726,0.6213,-0.0044
TICKER,AVGO,3,168,1111.88,-153.67,1.6799,0.625,-0.0007
TICKER,WMT,5,168,1131.27,-134.28,1.697,0.619,-0.0067
TICKER,PLTR,4,168,1136.69,-128.86,1.694,0.625,-0.0007
TICKER,CMCSA,4,169,1142.13,-123.42,1.6917,0.6213,-0.0044
TICKER,MSFT,3,169,1375.53,109.98,1.7942,0.6331,0.0074
TICKER,CAT,3,169,1162.22,-103.33,1.7016,0.6213,-0.0044
TICKER,DIS,3,170,1364.44,98.89,1.7788,0.6294,0.0037
TICKER,WDAY,4,170,1354.57,89.02,1.7751,0.6294,0.0037
TICKER,CVS,4,170,1348.28,82.73,1.7727,0.6294,0.0037
TICKER,FDX,4,169,1189.72,-75.83,1.7142,0.6272,0.0015
TICKER,COIN,3,169,1191.46,-74.09,1.7159,0.6213,-0.0044
TICKER,PUM.DE,4,167,1336.01,70.46,1.7998,0.6347,0.009
TICKER,CRM,3,169,1331.93,66.38,1.776,0.6272,0.0015
