# LM baseline on extension corpus
# N=93 extension events
# Graded (|ret|>2%): 34
# LM thresholds (phase2 dev, frozen): upper=0.03020068, lower=-0.02977885
# Grading band: +-2% raw overnight (pre-registered)
# Extension is pure eval; no dev refitting.
document_id,ticker,report_date,ret_overnight,outcome_label,lm_score,lm_predicted_signal,lm_correct,model_predicted_signal,model_correct,lm_pos,lm_neg,lm_tokens
ADBE_FQ1_2026,ADBE,2026-03-12,-0.077,SELL,0.03039702,BUY,0,HOLD,0,346,150,6448
ADBE_FQ2_2026,ADBE,2026-06-11,-0.075,SELL,0.02621116,HOLD,0,HOLD,0,358,180,6791
ADBE_FQ3_2025,ADBE,2025-09-11,0.0301,BUY,0.03341639,BUY,1,BUY,1,387,159,6823
ADBE_FQ4_2025,ADBE,2025-12-10,-0.0043,HOLD,0.02814993,HOLD,,HOLD,,351,164,6643
AXP_FQ1_2026,AXP,2026-04-23,-0.0021,HOLD,0.0161168,HOLD,,HOLD,,218,133,5274
AXP_FQ2_2025,AXP,2025-07-18,-0.0111,HOLD,0.00571931,HOLD,,HOLD,,205,166,6819
AXP_FQ3_2025,AXP,2025-10-17,0.0287,BUY,0.01625702,HOLD,0,BUY,1,210,126,5167
AXP_FQ4_2025,AXP,2026-01-30,-0.0098,HOLD,0.01360664,HOLD,,HOLD,,198,121,5659
CVX_FQ1_2026,CVX,2026-05-01,-0.0104,HOLD,-0.0047937,HOLD,,HOLD,,198,226,5841
CVX_FQ2_2025,CVX,2025-08-01,0.0059,HOLD,0.00467727,HOLD,,HOLD,,195,170,5345
CVX_FQ3_2025,CVX,2025-10-31,0.0144,HOLD,0.00148121,HOLD,,BUY,,181,173,5401
CVX_FQ4_2025,CVX,2026-01-30,0.0084,HOLD,0.01181408,HOLD,,HOLD,,266,190,6433
CL_FQ1_2026,CL,2026-04-24,0.01,HOLD,0.01944049,HOLD,,SELL,,85,44,2109
CL_FQ2_2026,CL,2026-07-31,-0.0082,HOLD,0.02920284,HOLD,,HOLD,,118,44,2534
CL_FQ3_2025,CL,2025-10-31,-0.0125,HOLD,0.02620632,HOLD,,SELL,,109,46,2404
CL_FQ4_2025,CL,2026-01-30,0.0406,BUY,0.00687161,HOLD,0,HOLD,0,118,99,2765
COST_FQ1_2026,COST,2025-12-11,-0.0013,HOLD,0.02192408,HOLD,,HOLD,,262,128,6112
COST_FQ2_2026,COST,2026-03-05,-0.0158,HOLD,0.01969561,HOLD,,HOLD,,225,115,5585
COST_FQ3_2026,COST,2026-05-28,-0.0087,HOLD,0.01474531,HOLD,,HOLD,,186,109,5222
COST_FQ4_2025,COST,2025-09-25,-0.0188,HOLD,0.02239464,HOLD,,HOLD,,237,110,5671
DDOG_FQ1_2026,DDOG,2026-05-07,0.3081,BUY,0.00267514,HOLD,0,HOLD,0,151,135,5981
DDOG_FQ2_2025,DDOG,2025-08-07,0.0788,BUY,-0.00897036,HOLD,0,HOLD,0,49,72,2564
DDOG_FQ3_2025,DDOG,2025-11-06,0.1543,BUY,0.00299829,HOLD,0,BUY,1,206,185,7004
DDOG_FQ4_2025,DDOG,2026-02-10,0.0892,BUY,-0.00251362,HOLD,0,HOLD,0,188,206,7161
DUK_FQ1_2023,DUK,2023-05-09,-0.0119,HOLD,-0.00255102,HOLD,,HOLD,,181,199,7056
DUK_FQ1_2024,DUK,2024-05-07,0.0058,HOLD,0.00493403,HOLD,,HOLD,,280,234,9323
DUK_FQ1_2025,DUK,2025-05-06,0.0104,HOLD,0.00456218,HOLD,,HOLD,,187,156,6795
DUK_FQ1_2026,DUK,2026-05-05,0.0114,HOLD,0.00934216,HOLD,,HOLD,,237,165,7707
DUK_FQ2_2023,DUK,2023-08-08,0.0069,HOLD,-0.00249584,HOLD,,SELL,,335,365,12020
