sector,n,accuracy_on,accuracy_off,delta
Basic Materials/Specialty Chemicals,3,0.3333,0.3333,0.0
Communication Services/Internet Content & Information,10,0.2,0.4,-0.2
Communication Services/Telecom Services,4,0.25,0.25,0.0
Consumer Cyclical/Footwear & Accessories,4,0.75,0.75,0.0
Consumer Cyclical/Restaurants,7,0.7143,0.5714,0.1429
Consumer Cyclical/Travel Services,7,0.4286,0.1429,0.2857
Consumer Defensive/Packaged Foods,6,0.5,0.5,0.0
Consumer Staples,17,0.2941,0.2941,0.0
Consumer/Auto,6,0.5,0.1667,0.3333
Consumer/Luxury,2,0.5,0.0,0.5
Consumer/Retail,23,0.3913,0.4783,-0.087
Consumer/Retail-Tech,3,0.6667,0.6667,0.0
Consumer/Travel,13,0.3077,0.3077,0.0
Financial Services/Banks - Diversified,4,0.25,0.0,0.25
Financial Services/Capital Markets,4,0.5,0.0,0.5
Financial Services/Credit Services,8,0.0,0.25,-0.25
Financial Services/Insurance - Diversified,1,1.0,1.0,0.0
Financial Services/Insurance - Life,6,0.1667,0.3333,-0.1667
Financials,27,0.2222,0.3704,-0.1481
Financials/Crypto,3,0.0,0.0,0.0
Healthcare,11,0.4545,0.5455,-0.0909
Healthcare/Consumer,4,0.5,0.5,0.0
Healthcare/Drug Manufacturers - General,3,0.6667,0.6667,0.0
Healthcare/Healthcare Plans,3,0.6667,0.6667,0.0
Industrials,4,0.5,0.5,0.0
Industrials/Aerospace-Defense,4,0.0,0.25,-0.25
Industrials/Airlines,8,0.375,0.25,0.125
Industrials/Farm & Heavy Construction Machinery,3,0.6667,0.6667,0.0
Industrials/Logistics,4,0.25,0.25,0.0
Industrials/Shipping,4,0.25,0.25,0.0
Industrials/Specialty Industrial Machinery,3,0.3333,0.3333,0.0
Media/Communication Services,12,0.4167,0.3333,0.0833
Technology,9,0.2222,0.2222,0.0
Technology/Computer Hardware,7,0.5714,0.7143,-0.1429
Technology/Semiconductors,13,0.4615,0.4615,0.0
Technology/Software - Application,7,0.2857,0.1429,0.1429
Technology/Software - Infrastructure,7,0.4286,0.4286,0.0
Technology/Transportation,4,0.25,0.5,-0.25
