document_id,ticker,outcome_label,macro_on_correct,macro_off_correct
ABNB_FQ1_2026,ABNB,SELL,0,0
ABNB_FQ2_2025,ABNB,SELL,0,0
ABNB_FQ3_2025,ABNB,HOLD,0,1
ABNB_FQ4_2025,ABNB,BUY,1,1
AMZN_FQ1_2026,AMZN,BUY,1,1
AMZN_FQ3_2025,AMZN,BUY,0,0
AMZN_FQ4_2025,AMZN,SELL,1,1
AMD_FQ1_2026,AMD,BUY,1,1
AMD_FQ2_2025,AMD,HOLD,1,0
AMD_FQ4_2025,AMD,SELL,0,0
AAPL_FQ1_2026,AAPL,BUY,1,1
AAPL_FQ3_2025,AAPL,BUY,0,0
AAPL_FQ4_2025,AAPL,HOLD,0,0
CVS_FQ1_2026,CVS,BUY,0,1
CVS_FQ2_2025,CVS,HOLD,1,0
CVS_FQ3_2025,CVS,HOLD,0,0
CVS_FQ4_2025,CVS,HOLD,1,1
SCHW_FQ1_2025,SCHW,BUY,0,1
SCHW_FQ1_2026,SCHW,SELL,0,0
SCHW_FQ2_2025,SCHW,BUY,0,1
SCHW_FQ3_2025,SCHW,HOLD,0,0
SCHW_FQ4_2025,SCHW,HOLD,0,0
C_FQ1_2025,C,BUY,0,0
C_FQ2_2025,C,BUY,0,0
C_FQ3_2025,C,HOLD,0,0
C_FQ4_2025,C,HOLD,0,0
KO_FQ1_2026,KO,HOLD,1,0
KO_FQ2_2025,KO,HOLD,1,1
KO_FQ4_2025,KO,BUY,0,0
COIN_FQ1_2026,COIN,BUY,0,0
COIN_FQ3_2025,COIN,SELL,0,0
COIN_FQ4_2025,COIN,BUY,0,0
LLY_FQ1_2026,LLY,BUY,1,1
LLY_FQ3_2025,LLY,BUY,1,1
LLY_FQ4_2025,LLY,HOLD,0,0
GS_FQ1_2025,GS,HOLD,0,1
GS_FQ1_2026,GS,HOLD,0,1
GS_FQ2_2025,GS,HOLD,1,0
GS_FQ2_2026,GS,HOLD,1,0
GS_FQ3_2025,GS,HOLD,0,0
GS_FQ4_2025,GS,HOLD,0,0
IBM_FQ1_2026,IBM,SELL,0,0
IBM_FQ2_2025,IBM,SELL,0,0
IBM_FQ4_2025,IBM,HOLD,0,0
LOW_FQ1_2025,LOW,HOLD,0,1
LOW_FQ1_2026,LOW,HOLD,0,1
LOW_FQ2_2025,LOW,HOLD,1,1
LOW_FQ3_2025,LOW,BUY,0,0
LOW_FQ4_2025,LOW,HOLD,0,0
LULU_FQ1_2026,LULU,HOLD,0,0
LULU_FQ3_2025,LULU,BUY,0,0
LULU_FQ4_2025,LULU,HOLD,0,0
AMKBY_FQ1_2025,AMKBY,BUY,0,0
AMKBY_FQ2_2025,AMKBY,BUY,1,1
AMKBY_FQ3_2025,AMKBY,SELL,0,0
AMKBY_FQ4_2025,AMKBY,HOLD,0,0
MCD_FQ1_2026,MCD,SELL,1,1
MCD_FQ4_2024,MCD,HOLD,0,0
MCD_FQ4_2025,MCD,HOLD,1,1
META_FQ1_2026,META,SELL,1,1
META_FQ3_2025,META,SELL,1,1
META_FQ4_2025,META,HOLD,0,0
NKE_FQ1_2025,NKE,SELL,1,1
NKE_FQ2_2025,NKE,HOLD,0,0
NKE_FQ3_2025,NKE,SELL,1,1
NVDA_FQ1_2025,NVDA,SELL,1,1
NVDA_FQ2_2025,NVDA,BUY,0,1
NVDA_FQ3_2025,NVDA,SELL,0,0
NVDA_FQ4_2025,NVDA,SELL,0,0
TSLA_FQ1_2026,TSLA,SELL,1,0
TSLA_FQ3_2025,TSLA,BUY,0,0
TSLA_FQ4_2025,TSLA,SELL,0,0
UBER_FQ1_2025,UBER,BUY,0,1
UBER_FQ1_2026,UBER,BUY,0,1
UBER_FQ2_2025,UBER,HOLD,1,0
UBER_FQ4_2025,UBER,SELL,0,0
WMT_FQ1_2025,WMT,HOLD,0,1
WMT_FQ1_2026,WMT,SELL,1,0
WMT_FQ2_2025,WMT,SELL,0,0
WMT_FQ3_2025,WMT,BUY,1,1
WMT_FQ4_2025,WMT,HOLD,1,0
BAC_FQ1_2025,BAC,HOLD,0,1
BAC_FQ2_2025,BAC,BUY,0,0
BAC_FQ3_2025,BAC,HOLD,0,0
BAC_FQ4_2025,BAC,SELL,0,0
BA_FQ1_2025,BA,BUY,0,0
BA_FQ2_2025,BA,HOLD,1,1
BA_FQ3_2025,BA,SELL,1,1
BA_FQ4_2025,BA,SELL,0,0
DIS_FQ1_2025,DIS,HOLD,1,1
DIS_FQ3_2025,DIS,SELL,0,0
DIS_FQ4_2025,DIS,SELL,0,0
JPM_FQ1_2025,JPM,HOLD,0,0
JPM_FQ1_2026,JPM,HOLD,0,1
JPM_FQ2_2025,JPM,HOLD,1,0
JPM_FQ3_2025,JPM,HOLD,1,1
JPM_FQ4_2025,JPM,HOLD,1,1
NFLX_FQ1_2025,NFLX,BUY,0,0
NFLX_FQ1_2026,NFLX,SELL,1,0
NFLX_FQ2_2025,NFLX,SELL,0,0
NFLX_FQ3_2025,NFLX,SELL,0,0
NFLX_FQ4_2024,NFLX,BUY,1,1
NFLX_FQ4_2025,NFLX,HOLD,0,0
