macro_weight,micro_weight,n,accuracy,is_deployed_default
0.0,1.0,268,0.3731,False
0.05,0.95,268,0.3582,False
0.1,0.9,268,0.3545,False
0.15,0.85,268,0.3619,False
0.2,0.8,268,0.3545,False
0.25,0.75,268,0.3806,False
0.3,0.7,268,0.3843,False
0.35,0.65,268,0.3881,False
0.4,0.6,268,0.3806,False
0.45,0.55,268,0.3619,True
0.5,0.5,268,0.3433,False
0.55,0.45,268,0.3545,False
0.6,0.4,268,0.3396,False
0.65,0.35,268,0.3246,False
0.7,0.3,268,0.306,False
0.75,0.25,268,0.3097,False
0.8,0.2,268,0.3022,False
0.85,0.15,268,0.2985,False
0.9,0.1,268,0.2799,False
0.95,0.05,268,0.2873,False
1.0,0.0,268,0.291,False
