rater,report_date,ticker,decision,gap,net,equity
LLM (DeepSeek),2014-02-28,AMKBY,SELL,-0.0293,0.0283,1.0283
LLM (DeepSeek),2024-10-01,NKE,SELL,-0.07,0.069,1.0992
LLM (DeepSeek),2024-12-19,NKE,SELL,-0.0148,0.0138,1.1144
LLM (DeepSeek),2025-01-21,NFLX,BUY,0.1475,0.1465,1.2777
LLM (DeepSeek),2025-02-05,AMKBY,HOLD,0.02,0.0,1.2777
LLM (DeepSeek),2025-02-10,MCD,HOLD,-0.0034,-0.0,1.2777
LLM (DeepSeek),2025-02-26,NVDA,SELL,0.0284,-0.0294,1.2402
LLM (DeepSeek),2025-03-20,NKE,SELL,-0.0734,0.0724,1.33
LLM (DeepSeek),2025-04-10,JPM,SELL,-0.0035,0.0025,1.3333
LLM (DeepSeek),2025-04-11,GS,HOLD,0.0315,0.0,1.3333
LLM (DeepSeek),2025-04-15,C,HOLD,-0.0197,-0.0,1.3333
LLM (DeepSeek),2025-04-15,BAC,HOLD,-0.0032,-0.0,1.3333
LLM (DeepSeek),2025-04-16,SCHW,HOLD,0.026,0.0,1.3333
LLM (DeepSeek),2025-04-17,NFLX,HOLD,0.0117,0.0,1.3333
LLM (DeepSeek),2025-04-23,BA,BUY,-0.0068,-0.0078,1.3229
LLM (DeepSeek),2025-05-06,UBER,HOLD,-0.0315,-0.0,1.3229
LLM (DeepSeek),2025-05-07,DIS,HOLD,0.0184,0.0,1.3229
LLM (DeepSeek),2025-05-14,WMT,HOLD,-0.0261,-0.0,1.3229
LLM (DeepSeek),2025-05-21,TGT,SELL,-0.009,0.008,1.3335
LLM (DeepSeek),2025-05-28,NVDA,HOLD,0.0552,0.0,1.3335
LLM (DeepSeek),2025-07-15,C,HOLD,0.0083,0.0,1.3335
LLM (DeepSeek),2025-07-15,GS,HOLD,0.0085,0.0,1.3335
LLM (DeepSeek),2025-07-15,BAC,HOLD,0.002,0.0,1.3335
LLM (DeepSeek),2025-07-15,JPM,BUY,0.0065,0.0055,1.3408
LLM (DeepSeek),2025-07-17,SCHW,BUY,0.028,0.027,1.3769
LLM (DeepSeek),2025-07-17,NFLX,BUY,-0.0253,-0.0263,1.3407
LLM (DeepSeek),2025-07-22,KO,HOLD,0.0,0.0,1.3407
LLM (DeepSeek),2025-07-23,IBM,BUY,-0.0736,-0.0746,1.2407
LLM (DeepSeek),2025-07-29,BA,HOLD,0.0078,0.0,1.2407
LLM (DeepSeek),2025-07-31,AAPL,HOLD,0.0159,0.0,1.2407
LLM (DeepSeek),2025-08-05,AMD,SELL,-0.0531,0.0521,1.3053
LLM (DeepSeek),2025-08-05,UBER,HOLD,0.0175,0.0,1.3053
LLM (DeepSeek),2025-08-05,DIS,HOLD,-0.0214,-0.0,1.3053
LLM (DeepSeek),2025-08-06,ABNB,HOLD,-0.0775,-0.0,1.3053
LLM (DeepSeek),2025-08-07,AMKBY,BUY,0.0087,0.0077,1.3153
LLM (DeepSeek),2025-08-20,LOW,HOLD,-0.0041,-0.0,1.3153
LLM (DeepSeek),2025-08-20,WMT,HOLD,-0.0308,-0.0,1.3153
LLM (DeepSeek),2025-08-20,TGT,HOLD,-0.0021,-0.0,1.3153
LLM (DeepSeek),2025-08-27,NVDA,BUY,-0.0043,-0.0053,1.3083
LLM (DeepSeek),2025-10-13,GS,BUY,-0.0284,-0.0294,1.2699
LLM (DeepSeek),2025-10-14,C,HOLD,0.0135,0.0,1.2699
LLM (DeepSeek),2025-10-14,BAC,HOLD,0.0296,0.0,1.2699
LLM (DeepSeek),2025-10-14,JPM,HOLD,0.0143,0.0,1.2699
LLM (DeepSeek),2025-10-15,SCHW,HOLD,0.0047,0.0,1.2699
LLM (DeepSeek),2025-10-21,NFLX,HOLD,-0.0793,-0.0,1.2699
LLM (DeepSeek),2025-10-22,TSLA,BUY,-0.0432,-0.0442,1.2138
LLM (DeepSeek),2025-10-29,LLY,SELL,0.0295,-0.0305,1.1768
LLM (DeepSeek),2025-10-29,META,SELL,-0.1098,0.1088,1.3048
LLM (DeepSeek),2025-10-29,BA,SELL,-0.0167,0.0157,1.3253
LLM (DeepSeek),2025-10-30,AMZN,SELL,0.1222,-0.1232,1.162
