ticker	report_date	position	gap_pct	net_pnl_pct
AMKBY	2014-02-28	-1	-2.9003	2.8003
PEP	2023-04-25	1	-0.6483	-0.7483
PEP	2023-07-13	1	0.176	0.076
PEP	2023-10-10	1	0.371	0.271
PEP	2024-02-09	-1	0.1133	-0.2133
PEP	2024-04-23	0	-1.5886	-0.0
PEP	2024-07-11	-1	0.6161	-0.7161
NKE	2024-10-01	-1	-7.001	6.901
PEP	2024-10-08	-1	-0.6102	0.5102
HLT	2024-10-23	0	-0.1713	-0.0
MSFT	2024-10-30	0	-3.9697	-0.0
NKE	2024-12-19	-1	-1.4786	1.3786
NFLX	2025-01-21	1	14.7583	14.6583
MSFT	2025-01-29	1	-5.3263	-5.4263
PEP	2025-02-04	-1	-0.0697	-0.0303
AMKBY	2025-02-05	0	1.9084	0.0
MCD	2025-02-10	-1	-0.3405	0.2405
NVDA	2025-02-26	-1	2.8336	-2.9336
NKE	2025-03-20	-1	-7.3337	7.2337
JPM	2025-04-10	-1	-0.3523	0.2523
GS	2025-04-11	-1	3.147	-3.247
C	2025-04-15	-1	-1.9742	1.8742
BAC	2025-04-15	-1	-0.3422	0.2422
UAL	2025-04-15	-1	3.9403	-4.0403
SCHW	2025-04-16	0	2.6024	0.0
NFLX	2025-04-17	-1	1.1685	-1.2685
LMT	2025-04-22	-1	1.0648	-1.1648
BA	2025-04-23	0	-0.6788	-0.0
PEP	2025-04-24	-1	0.1183	-0.2183
PFE	2025-04-28	-1	-0.9544	0.8544
HLT	2025-04-29	-1	-1.4885	1.3885
UBER	2025-05-06	0	-3.1458	-0.0
DIS	2025-05-07	0	1.8415	0.0
NVO	2025-05-07	-1	-2.4278	2.3278
WMT	2025-05-14	-1	-2.6128	2.5128
TGT	2025-05-21	-1	-0.9031	0.8031
NVDA	2025-05-28	0	5.5189	0.0
C	2025-07-15	0	0.8377	0.0
GS	2025-07-15	0	0.8526	0.0
BAC	2025-07-15	0	0.2167	0.0
JPM	2025-07-15	0	0.6456	0.0
UAL	2025-07-16	0	3.8657	0.0
SCHW	2025-07-17	0	2.7927	0.0
NFLX	2025-07-17	0	-2.5279	-0.0
PEP	2025-07-17	0	0.5638	0.0
KO	2025-07-22	0	-0.0	-0.0
LMT	2025-07-22	-1	0.7353	-0.8353
IBM	2025-07-23	1	-7.3615	-7.4615
HLT	2025-07-23	0	-0.1574	-0.0
