rank	micro_w	macro_w	news_w	quant_w	hold_upper	hold_lower	total_return_pct	sharpe_per_trade	n_trades
1	0.55	0.45	0.00	0.00	0.25	-0.05	167.66	2.329	99
2	0.55	0.45	0.00	0.00	0.30	-0.05	157.04	2.293	89
3	0.65	0.30	0.05	0.00	0.30	-0.30	151.56	2.788	47
4	0.40	0.25	0.25	0.10	0.15	-0.10	149.61	2.337	96
5	0.65	0.35	0.00	0.00	0.40	-0.30	145.59	3.026	36
6	0.85	0.05	0.10	0.00	0.40	-0.10	145.03	2.381	59
7	0.60	0.40	0.00	0.00	0.35	-0.30	144.29	2.995	37
8	0.85	0.15	0.00	0.00	0.40	-0.10	144.25	2.368	61
9	0.80	0.20	0.00	0.00	0.40	-0.15	144.11	2.380	55
10	0.70	0.25	0.05	0.00	0.35	-0.15	144.11	2.380	55

summary_row	metric	total_return_pct	n_trades	sharpe_per_trade	avg_net_per_trade_pct	notes
	global_best	167.66	99	2.329	1.1103	PSR=0.0, perm_p=0.14977 (not significant)
	loocv	87.82	95	1.654	0.7667	hit_rate=0.60
	deployed_default	64.30	79	1.292	0.7687	weights=0.8/0.0/0.2/0.0, thr=+-0.25
