hold_upper	n_trades	selectivity_pct	total_return_pct	avg_net_per_trade_pct	hit_rate	sharpe_per_trade	max_drawdown_pct
0.15	123	76.4	84.29	0.599	59.4	1.47	35.81
0.20	101	62.7	73.86	0.667	58.4	1.37	41.83
0.25	79	49.1	64.51	0.770	58.2	1.29	39.52
0.30	59	36.6	68.03	1.037	59.3	1.43	29.85
0.35	47	29.2	106.91	1.707	66.0	2.13	12.63
0.40	26	16.1	36.73	1.422	57.7	1.11	29.21
0.45	18	11.2	50.55	2.512	66.7	1.61	15.25
0.50	8	5.0	36.08	4.233	75.0	1.51	11.30
0.55	6	3.7	34.54	5.453	83.3	1.52	11.30
0.60	3	1.9	-2.92	-0.686	66.7	-0.16	11.30
