document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
ABNB_FQ1_2026,ABNB,2026-05-07,2026-05-07,140.46,-0.016624,0.007333,-0.035455,-0.048341,-0.044212,-0.021203,-0.000923,-0.044477,-0.071018,-0.059439,20260820_020202,1,NO
ABNB_FQ2_2025,ABNB,2025-08-06,2025-08-06,130.5,-0.077548,-0.08023,-0.093487,-0.045594,-0.042452,-0.083016,-0.079392,-0.098449,-0.064732,-0.050875,20260820_020202,1,NO
ABNB_FQ3_2025,ABNB,2025-11-06,2025-11-06,120.53,0.041193,0.002904,0.016593,0.005476,-0.074587,0.044774,0.001919,-0.002338,0.002895,-0.048062,20260820_020202,1,NO
ABNB_FQ4_2025,ABNB,2026-02-12,2026-02-12,115.96,0.090592,0.046482,0.071663,0.10288,0.165143,0.089975,0.045777,0.064294,0.090903,0.158215,20260820_020202,1,NO
AMZN_FQ1_2026,AMZN,2026-04-29,2026-04-29,263.04,0.038511,0.007679,0.034253,0.04543,0.026954,0.034225,-0.00227,0.025217,0.014162,-0.016231,20260820_020202,1,NO
AMZN_FQ3_2025,AMZN,2025-10-30,2025-10-30,222.86,0.122229,0.095845,0.118729,0.09055,0.06605,0.114566,0.092565,0.125481,0.104554,0.077509,20260820_020202,1,NO
AMZN_FQ4_2025,AMZN,2026-02-05,2026-02-05,222.69,-0.089766,-0.055548,-0.070636,-0.103687,-0.056491,-0.095433,-0.074733,-0.092035,-0.109073,-0.07392,20260820_020202,1,NO
AMD_FQ1_2026,AMD,2026-05-05,2026-05-05,355.26,0.152649,0.186145,0.281287,0.261865,0.165484,0.146583,0.172246,0.262151,0.241955,0.151723,20260820_020202,1,NO
AMD_FQ2_2025,AMD,2025-08-05,2025-08-05,174.31,-0.053124,-0.064196,-0.008892,0.003672,-0.044518,-0.054844,-0.071856,-0.023559,-0.019769,-0.063373,20260820_020202,1,NO
AMD_FQ4_2025,AMD,2026-02-03,2026-02-03,242.11,-0.111974,-0.173144,-0.139069,-0.11788,-0.173434,-0.113163,-0.168301,-0.14065,-0.121636,-0.168735,20260820_020202,1,NO
AAPL_FQ1_2026,AAPL,2026-01-29,2026-01-29,258.28,-0.012041,0.004646,0.043364,0.068259,0.013358,-0.008799,0.007629,0.049862,0.091918,0.031757,20260820_020202,1,NO
AAPL_FQ3_2025,AAPL,2025-07-31,2025-07-31,207.57,0.015898,-0.025004,-0.022402,0.060028,0.121453,0.025043,-0.008613,-0.0159,0.059759,0.101092,20260820_020202,1,NO
AAPL_FQ4_2025,AAPL,2025-10-30,2025-10-30,271.4,0.020597,-0.003795,-0.005011,-0.006006,0.005711,0.012933,-0.007075,0.001741,0.007998,0.01717,20260820_020202,1,NO
CVS_FQ1_2026,CVS,2026-05-06,2026-05-05,80.69,0.059735,0.076465,0.122196,0.179204,0.167183,0.058072,0.079532,0.114742,0.167649,0.157072,20260820_020202,1,NO
CVS_FQ2_2025,CVS,2025-07-31,2025-07-30,62.3,0.051525,-0.00321,-0.013644,0.019583,0.057785,0.060669,0.01318,-0.007141,0.019314,0.037424,20260820_020202,1,NO
CVS_FQ3_2025,CVS,2025-10-29,2025-10-28,82.2,0.00365,-0.019465,-0.04927,-0.050122,-0.028345,0.008727,-0.008467,-0.043378,-0.03585,-0.022512,20260820_020202,1,NO
CVS_FQ4_2025,CVS,2026-02-10,2026-02-09,75.77,-0.026396,-0.000924,0.028507,0.032071,-0.020985,-0.032565,-0.000693,0.04349,0.040494,-0.022473,20260820_020202,1,NO
SCHW_FQ1_2025,SCHW,2025-04-17,2025-04-17,76.15,-0.006697,-0.015758,0.022324,0.04977,0.091399,0.003276,0.008044,0.005208,0.003741,0.014747,20260820_020202,1,NO
SCHW_FQ1_2026,SCHW,2026-04-16,2026-04-16,92.62,0.007882,-0.003671,-0.007018,-0.039948,-0.010581,0.001497,-0.015757,-0.010467,-0.049625,-0.034809,20260820_020202,1,NO
SCHW_FQ2_2025,SCHW,2025-07-18,2025-07-18,95.8,0.002296,0.004697,-0.006785,0.013152,-0.002818,0.0004,0.002801,-0.017349,-0.002017,0.006519,20260820_020202,1,NO
