document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
PEP_FQ1_2023,PEP,2023-04-25,2023-04-24,185.5,0.005714,0.022695,0.022588,0.033315,0.042318,0.004138,0.026931,-0.001669,0.021593,0.030375,20260820_020202,1,NO
PEP_FQ1_2024,PEP,2024-04-23,2024-04-22,176.46,-0.009974,-0.029695,0.001247,-0.001813,-0.003627,-0.011774,-0.029221,-0.003915,0.005444,-0.02635,20260820_020202,1,NO
PEP_FQ1_2025,PEP,2025-04-24,2025-04-23,142.26,-0.005694,-0.048854,-0.05975,-0.046956,-0.072684,-0.005621,-0.05608,-0.073706,-0.068504,-0.106286,20260820_020202,1,NO
PEP_FQ1_2026,PEP,2026-04-16,2026-04-15,154.85,0.004456,0.022796,0.01382,-0.006845,0.002841,-0.001929,0.010711,0.010371,-0.016523,-0.021387,20260820_020202,1,NO
PEP_FQ2_2023,PEP,2023-07-13,2023-07-12,183.17,0.014358,0.023803,0.01343,0.01687,0.046023,0.012312,0.024426,0.003131,0.011042,0.039505,20260820_020202,1,NO
PEP_FQ2_2024,PEP,2024-07-11,2024-07-10,163.59,-0.027447,0.002201,0.00165,0.038511,0.027997,-0.029513,-0.004107,-0.013408,0.045376,0.060469,20260820_020202,1,NO
PEP_FQ2_2025,PEP,2025-07-17,2025-07-16,135.35,0.046915,0.074547,0.046915,0.076173,0.055486,0.044909,0.07528,0.04561,0.066014,0.049053,20260820_020202,1,NO
PEP_FQ2_2026,PEP,2026-07-09,2026-07-08,142.51,-0.038032,-0.032629,-0.028208,-0.049891,-0.048137,-0.038485,-0.036939,-0.028368,-0.048574,-0.030138,20260820_020202,1,NO
PEP_FQ3_2023,PEP,2023-10-10,2023-10-09,161.36,0.01791,0.01884,-0.020327,-0.001735,-0.007933,0.015379,0.014744,-0.013331,-0.005141,0.017174,20260820_020202,1,NO
PEP_FQ3_2024,PEP,2024-10-08,2024-10-07,167.21,0.00305,0.019197,0.034567,0.053167,0.046648,0.003067,0.012271,0.023384,0.041634,0.028939,20260820_020202,1,NO
PEP_FQ3_2025,PEP,2025-10-09,2025-10-08,138.84,0.011668,0.042279,0.072386,0.088735,0.102204,0.010223,0.069307,0.085691,0.10441,0.10131,20260820_020202,1,NO
PEP_FQ4_2023,PEP,2024-02-09,2024-02-08,173.85,-0.015243,-0.035548,-0.028588,-0.034455,-0.024446,-0.015183,-0.035109,-0.02334,-0.031083,-0.034003,20260820_020202,1,NO
PEP_FQ4_2024,PEP,2025-02-04,2025-02-03,150.27,-0.02775,-0.045119,-0.032741,-0.039396,-0.041059,-0.025856,-0.049173,-0.031063,-0.045262,-0.059588,20260820_020202,1,NO
PEP_FQ4_2025,PEP,2026-02-03,2026-02-02,155.2,0.009021,0.049291,0.079446,0.072616,0.043299,0.007832,0.054135,0.077865,0.06886,0.047998,20260820_020202,1,NO
