# Section ablation extension results
# Run ID: 20260813T234207Z
# Four-arm N: 56, Two-arm N: 93
# Grading: +-2% raw overnight band (pre-registered)
# hold_upper: 0.25, hold_lower: -0.05

document_id,arm,sentiment_score,signal,input_tokens,output_tokens,total_tokens,estimated_cost_usd,latency_seconds,ret_overnight,grade,net_overnight,run_id
ADBE_FQ1_2026,full_bundle,0.15,HOLD,20965,2111,23076,0.00381,12.43,-0.077,no_trade,,20260813T234207Z
ADBE_FQ1_2026,press_release,0.15,HOLD,7557,1817,9374,0.002529,10.4,-0.077,no_trade,,20260813T234207Z
ADBE_FQ1_2026,prepared_remarks,0.15,HOLD,10431,2225,12656,0.00319,11.71,-0.077,no_trade,,20260813T234207Z
ADBE_FQ1_2026,qa_only,0.15,HOLD,9447,1629,11076,0.002474,13.6,-0.077,no_trade,,20260813T234207Z
ADBE_FQ2_2026,full_bundle,0.35,BUY,22999,2201,25200,0.004048,12.48,-0.075,wrong,-0.076,20260813T234207Z
ADBE_FQ2_2026,press_release,0.55,BUY,8403,1819,10222,0.002606,9.81,-0.075,wrong,-0.076,20260813T234207Z
ADBE_FQ2_2026,prepared_remarks,0.35,BUY,10616,2319,12935,0.003318,12.56,-0.075,wrong,-0.076,20260813T234207Z
ADBE_FQ2_2026,qa_only,-0.3,SELL,10449,2009,12458,0.002958,13.19,-0.075,correct,0.074,20260813T234207Z
ADBE_FQ3_2025,full_bundle,0.55,BUY,22779,2118,24897,0.003949,11.48,0.0301,correct,0.029099999999999997,20260813T234207Z
ADBE_FQ3_2025,press_release,0.55,BUY,8045,1544,9589,0.002283,9.01,0.0301,correct,0.029099999999999997,20260813T234207Z
ADBE_FQ3_2025,prepared_remarks,0.55,BUY,9216,1498,10714,0.002319,9.2,0.0301,correct,0.029099999999999997,20260813T234207Z
ADBE_FQ3_2025,qa_only,0.35,BUY,11988,2602,14590,0.003718,16.01,0.0301,correct,0.029099999999999997,20260813T234207Z
ADBE_FQ4_2025,full_bundle,0.3,BUY,22177,2442,24619,0.004245,14.11,-0.0043,flat,-0.0053,20260813T234207Z
ADBE_FQ4_2025,press_release,0.3,BUY,8976,2506,11482,0.003388,13.16,-0.0043,flat,-0.0053,20260813T234207Z
ADBE_FQ4_2025,prepared_remarks,0.35,BUY,10800,3119,13919,0.004197,16.39,-0.0043,flat,-0.0053,20260813T234207Z
ADBE_FQ4_2025,qa_only,0.3,BUY,8871,1539,10410,0.002322,9.48,-0.0043,flat,-0.0053,20260813T234207Z
AXP_FQ1_2026,full_bundle,0.15,HOLD,17992,2553,20545,0.004082,14.88,-0.0021,no_trade,,20260813T234207Z
AXP_FQ1_2026,press_release,0.15,HOLD,6366,2592,8958,0.003316,13.86,-0.0021,no_trade,,20260813T234207Z
AXP_FQ1_2026,prepared_remarks,0.15,HOLD,6613,2282,8895,0.00299,12.0,-0.0021,no_trade,,20260813T234207Z
AXP_FQ1_2026,qa_only,0.15,HOLD,11483,2079,13562,0.003109,12.19,-0.0021,no_trade,,20260813T234207Z
AXP_FQ2_2025,full_bundle,0.15,HOLD,22933,1666,24599,0.007973,11.24,-0.0111,no_trade,,20260813T234207Z
AXP_FQ2_2025,press_release,0.15,HOLD,7007,1427,8434,0.00341,9.27,-0.0111,no_trade,,20260813T234207Z
AXP_FQ2_2025,prepared_remarks,0.1,HOLD,8582,2174,10756,0.004657,12.41,-0.0111,no_trade,,20260813T234207Z
AXP_FQ2_2025,qa_only,0.1,HOLD,13814,1998,15812,0.005876,13.24,-0.0111,no_trade,,20260813T234207Z
