# Section ablation results
# Run ID: 20260812T131110Z
# Run date: 2026-08-12T16:21:46.494422+00:00
# Model alias: deepseek-chat
# Resolved model version: deepseek-v4-flash
# Deployed runs used: deepseek-v4-flash (verified from run_meta)
# Grading: pre-registered ±2% raw overnight band
# Overnight band: 0.02, 5d band: 0.033786
# hold_upper: 0.25, hold_lower: -0.05
#
document_id,arm,sentiment_score,signal,input_tokens,output_tokens,total_tokens,estimated_cost_usd,latency_seconds,ret_overnight,ret_5d,correct_overnight,correct_5d,net_overnight,run_id
ABNB_FQ1_2026,full_bundle,0.55,BUY,20676,2311,22987,0.004003,14.86,-0.016624,-0.048341,flat,wrong,-0.017624,20260812T131110Z
ABNB_FQ1_2026,press_release,0.35,BUY,5534,2065,7599,0.002665,13.12,-0.016624,-0.048341,flat,wrong,-0.017624,20260812T131110Z
ABNB_FQ1_2026,prepared_remarks,0.55,BUY,7145,2014,9159,0.002737,12.52,-0.016624,-0.048341,flat,wrong,-0.017624,20260812T131110Z
ABNB_FQ1_2026,qa_only,0.55,BUY,14491,2203,16694,0.003443,14.21,-0.016624,-0.048341,flat,wrong,-0.017624,20260812T131110Z
ABNB_FQ2_2025,full_bundle,0.15,HOLD,21818,1766,23584,0.003481,11.98,-0.077548,-0.045594,no_trade,no_trade,,20260812T131110Z
ABNB_FQ2_2025,press_release,0.15,HOLD,5305,1898,7203,0.002471,12.05,-0.077548,-0.045594,no_trade,no_trade,,20260812T131110Z
ABNB_FQ2_2025,prepared_remarks,0.15,HOLD,5790,1501,7291,0.002062,9.46,-0.077548,-0.045594,no_trade,no_trade,,20260812T131110Z
ABNB_FQ2_2025,qa_only,0.15,HOLD,17216,2368,19584,0.003823,15.93,-0.077548,-0.045594,no_trade,no_trade,,20260812T131110Z
ABNB_FQ3_2025,full_bundle,0.25,HOLD,20715,2248,22963,0.003944,14.35,0.041193,0.005476,no_trade,no_trade,,20260812T131110Z
ABNB_FQ3_2025,press_release,0.15,HOLD,5222,1816,7038,0.002384,12.31,0.041193,0.005476,no_trade,no_trade,,20260812T131110Z
ABNB_FQ3_2025,prepared_remarks,0.25,HOLD,7038,1677,8715,0.002363,11.04,0.041193,0.005476,no_trade,no_trade,,20260812T131110Z
ABNB_FQ3_2025,qa_only,0.15,HOLD,14948,1952,16900,0.003214,13.41,0.041193,0.005476,no_trade,no_trade,,20260812T131110Z
ABNB_FQ4_2025,full_bundle,0.55,BUY,19576,2845,22421,0.004524,16.94,0.090592,0.10288,correct,correct,0.089592,20260812T131110Z
ABNB_FQ4_2025,press_release,0.3,BUY,5271,2395,7666,0.003008,13.87,0.090592,0.10288,correct,correct,0.089592,20260812T131110Z
ABNB_FQ4_2025,prepared_remarks,0.35,BUY,7685,1781,9466,0.002498,11.43,0.090592,0.10288,correct,correct,0.089592,20260812T131110Z
ABNB_FQ4_2025,qa_only,0.15,HOLD,13114,1433,14547,0.002506,11.08,0.090592,0.10288,no_trade,no_trade,,20260812T131110Z
AAPL_FQ1_2026,full_bundle,0.3,BUY,17966,2410,20376,0.003918,14.01,-0.012041,0.068259,flat,correct,-0.013041,20260812T131110Z
AAPL_FQ1_2026,press_release,0.15,HOLD,5309,1212,6521,0.001717,8.21,-0.012041,0.068259,no_trade,no_trade,,20260812T131110Z
AAPL_FQ1_2026,prepared_remarks,0.3,BUY,8440,2145,10585,0.002974,12.76,-0.012041,0.068259,flat,correct,-0.013041,20260812T131110Z
AAPL_FQ1_2026,qa_only,0.3,BUY,10705,1578,12283,0.002501,11.04,-0.012041,0.068259,flat,correct,-0.013041,20260812T131110Z
AAPL_FQ3_2025,full_bundle,0.15,HOLD,17382,2058,19440,0.003501,37.42,0.015898,0.060028,no_trade,no_trade,,20260812T131110Z
AAPL_FQ3_2025,press_release,0.15,HOLD,5592,1424,7016,0.003025,8.9,0.015898,0.060028,no_trade,no_trade,,20260812T131110Z
AAPL_FQ3_2025,prepared_remarks,0.15,HOLD,8539,2221,10760,0.004697,13.23,0.015898,0.060028,no_trade,no_trade,,20260812T131110Z
AAPL_FQ3_2025,qa_only,0.15,HOLD,9739,1649,11388,0.004367,12.05,0.015898,0.060028,no_trade,no_trade,,20260812T131110Z
AAPL_FQ4_2025,full_bundle,0.3,BUY,17164,1529,18693,0.006265,9.93,0.020597,-0.006006,correct,flat,0.019597,20260812T131110Z
AAPL_FQ4_2025,press_release,0.15,HOLD,5708,1434,7142,0.003067,9.48,0.020597,-0.006006,no_trade,no_trade,,20260812T131110Z
AAPL_FQ4_2025,prepared_remarks,0.3,BUY,8568,2158,10726,0.004636,13.6,0.020597,-0.006006,correct,flat,0.019597,20260812T131110Z
AAPL_FQ4_2025,qa_only,0.3,BUY,9376,2226,11602,0.004903,14.02,0.020597,-0.006006,correct,flat,0.019597,20260812T131110Z
CVS_FQ1_2026,full_bundle,0.55,BUY,18884,2341,21225,0.007623,15.26,0.001612,0.129519,flat,correct,0.0006119999999999999,20260812T131110Z
CVS_FQ1_2026,press_release,0.55,BUY,5584,2562,8146,0.004275,17.2,0.001612,0.129519,flat,correct,0.0006119999999999999,20260812T131110Z
CVS_FQ1_2026,prepared_remarks,0.55,BUY,7386,2689,10075,0.004875,16.23,0.001612,0.129519,flat,correct,0.0006119999999999999,20260812T131110Z
CVS_FQ1_2026,qa_only,0.15,HOLD,12413,1375,13788,0.004787,9.62,0.001612,0.129519,no_trade,no_trade,,20260812T131110Z
CVS_FQ2_2025,full_bundle,0.35,BUY,19209,1840,21049,0.007159,12.03,0.003543,0.023833,flat,flat,0.002543,20260812T131110Z
CVS_FQ2_2025,press_release,0.15,HOLD,6483,2502,8985,0.004451,13.98,0.003543,0.023833,no_trade,no_trade,,20260812T131110Z
CVS_FQ2_2025,prepared_remarks,0.35,BUY,8661,2434,11095,0.004939,14.52,0.003543,0.023833,flat,flat,0.002543,20260812T131110Z
CVS_FQ2_2025,qa_only,-0.05,HOLD,10564,1907,12471,0.004873,12.84,0.003543,0.023833,no_trade,no_trade,,20260812T131110Z
CVS_FQ3_2025,full_bundle,0.3,BUY,19935,2422,22357,0.007995,17.16,-0.056079,-0.025434,wrong,flat,-0.057079,20260812T131110Z
CVS_FQ3_2025,press_release,-0.35,SELL,6282,2179,8461,0.004042,13.06,-0.056079,-0.025434,correct,flat,0.055078999999999996,20260812T131110Z
CVS_FQ3_2025,prepared_remarks,0.35,BUY,8258,2469,10727,0.004869,14.35,-0.056079,-0.025434,wrong,flat,-0.057079,20260812T131110Z
CVS_FQ3_2025,qa_only,-0.35,SELL,11894,2575,14469,0.005967,17.21,-0.056079,-0.025434,correct,flat,0.055078999999999996,20260812T131110Z
CVS_FQ4_2025,full_bundle,0.15,HOLD,20173,2583,22756,0.008237,15.36,0.0,0.027081,no_trade,no_trade,,20260812T131110Z
CVS_FQ4_2025,press_release,-0.3,SELL,6334,3253,9587,0.005237,18.08,0.0,0.027081,flat,flat,-0.001,20260812T131110Z
CVS_FQ4_2025,prepared_remarks,0.15,HOLD,9059,2209,11268,0.004799,14.22,0.0,0.027081,no_trade,no_trade,,20260812T131110Z
CVS_FQ4_2025,qa_only,-0.15,SELL,11279,1418,12697,0.004528,11.68,0.0,0.027081,flat,flat,-0.001,20260812T131110Z
SCHW_FQ1_2025,full_bundle,0.3,BUY,26992,1985,28977,0.00942,13.57,0.026024,0.048613,correct,correct,0.025023999999999998,20260812T131110Z
SCHW_FQ1_2025,press_release,0.2,HOLD,13286,1436,14722,0.005116,10.22,0.026024,0.048613,no_trade,no_trade,,20260812T131110Z
