document_id,section_header,own_mentions_per_1k,top_other_issuer,top_other_mentions_per_1k,flagged,flag_reason,run_id
ABNB_FQ1_2026,=== EARNINGS CALL TRANSCRIPT ===,7.7,p2_booking_holdings,1.11,False,,section_attr_20260812_220351
ABNB_FQ1_2026,=== PRESS RELEASE ===,11.07,p2_booking_holdings,2.77,False,,section_attr_20260812_220351
ABNB_FQ2_2025,=== EARNINGS CALL TRANSCRIPT ===,10.28,p2_booking_holdings,1.11,False,,section_attr_20260812_220351
ABNB_FQ2_2025,=== PRESS RELEASE ===,11.02,p2_booking_holdings,1.57,False,,section_attr_20260812_220351
ABNB_FQ3_2025,=== EARNINGS CALL TRANSCRIPT ===,9.08,p2_goldman_sachs,0.67,False,,section_attr_20260812_220351
ABNB_FQ3_2025,=== PRESS RELEASE ===,9.09,p2_booking_holdings,4.13,False,,section_attr_20260812_220351
ABNB_FQ4_2025,=== EARNINGS CALL TRANSCRIPT ===,7.24,p2_booking_holdings,1.36,False,,section_attr_20260812_220351
ABNB_FQ4_2025,=== PRESS RELEASE ===,8.42,p2_booking_holdings,1.68,False,,section_attr_20260812_220351
AMZN_FQ1_2026,=== EARNINGS DOCUMENT ===,9.7,p2_alphabet,1.21,False,,section_attr_20260812_220351
AMZN_FQ1_2026,=== EARNINGS CALL TRANSCRIPT ===,8.33,p2_apple,0.35,False,,section_attr_20260812_220351
AMZN_FQ3_2025,=== EARNINGS DOCUMENT ===,11.28,p2_alphabet,1.25,False,,section_attr_20260812_220351
AMZN_FQ3_2025,=== EARNINGS CALL TRANSCRIPT ===,9.36,p2_nvidia,0.74,False,,section_attr_20260812_220351
AMZN_FQ4_2025,=== EARNINGS DOCUMENT ===,12.95,p2_alphabet,1.3,False,,section_attr_20260812_220351
AMZN_FQ4_2025,=== EARNINGS CALL TRANSCRIPT ===,9.21,p2_alphabet,0.21,False,,section_attr_20260812_220351
AMD_FQ1_2026,=== EARNINGS DOCUMENT ===,8.48,p2_alphabet,1.21,False,,section_attr_20260812_220351
AMD_FQ1_2026,=== EARNINGS CALL TRANSCRIPT ===,2.25,p2_alphabet,0.1,False,,section_attr_20260812_220351
AMD_FQ2_2025,=== EARNINGS DOCUMENT ===,12.27,p2_alphabet,1.23,False,,section_attr_20260812_220351
AMD_FQ2_2025,=== EARNINGS CALL TRANSCRIPT ===,3.24,p2_alphabet,0.32,False,,section_attr_20260812_220351
AMD_FQ4_2025,=== EARNINGS DOCUMENT ===,8.6,p2_alphabet,1.23,False,,section_attr_20260812_220351
AMD_FQ4_2025,=== EARNINGS CALL TRANSCRIPT ===,2.03,p2_alphabet,0.34,False,,section_attr_20260812_220351
AAPL_FQ1_2026,=== EARNINGS CALL TRANSCRIPT ===,6.9,p2_alphabet,1.32,False,,section_attr_20260812_220351
AAPL_FQ1_2026,=== PRESS RELEASE ===,15.11,,0.0,False,,section_attr_20260812_220351
AAPL_FQ3_2025,=== EARNINGS CALL TRANSCRIPT ===,6.42,p2_alphabet,0.22,False,,section_attr_20260812_220351
AAPL_FQ3_2025,=== PRESS RELEASE ===,14.59,,0.0,False,,section_attr_20260812_220351
AAPL_FQ4_2025,=== EARNINGS CALL TRANSCRIPT ===,7.09,p2_broadcom,0.23,False,,section_attr_20260812_220351
AAPL_FQ4_2025,=== PRESS RELEASE ===,13.61,,0.0,False,,section_attr_20260812_220351
CVS_FQ1_2026,=== EARNINGS CALL TRANSCRIPT ===,9.15,p2_goldman_sachs,0.58,False,,section_attr_20260812_220351
CVS_FQ1_2026,=== PRESS RELEASE ===,11.48,p2_alphabet,0.64,False,,section_attr_20260812_220351
CVS_FQ2_2025,=== EARNINGS CALL TRANSCRIPT ===,2.33,p2_barclays,0.21,False,,section_attr_20260812_220351
CVS_FQ2_2025,=== PRESS RELEASE ===,12.93,,0.0,False,,section_attr_20260812_220351
CVS_FQ3_2025,=== EARNINGS CALL TRANSCRIPT ===,7.79,p2_barclays,0.28,False,,section_attr_20260812_220351
CVS_FQ3_2025,=== PRESS RELEASE ===,8.58,,0.0,False,,section_attr_20260812_220351
CVS_FQ4_2025,=== EARNINGS CALL TRANSCRIPT ===,9.97,p2_barclays,0.28,False,,section_attr_20260812_220351
CVS_FQ4_2025,=== PRESS RELEASE ===,7.04,,0.0,False,,section_attr_20260812_220351
