document_id,ticker,issuer,report_date,press_release,prepared_remarks,guidance,qa,doc_types_present,notes
ABNB_FQ1_2026,ABNB,p2_airbnb,2026-05-07,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,FactSet
ABNB_FQ2_2025,ABNB,p2_airbnb,2025-08-06,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,FactSet
ABNB_FQ3_2025,ABNB,p2_airbnb,2025-11-06,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,FactSet
ABNB_FQ4_2025,ABNB,p2_airbnb,2026-02-12,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,FactSet
AMZN_FQ1_2026,AMZN,p2_amazon,2026-04-29,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
AMZN_FQ3_2025,AMZN,p2_amazon,2025-10-30,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
AMZN_FQ4_2025,AMZN,p2_amazon,2026-02-05,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
AMD_FQ1_2026,AMD,p2_amd,2026-05-05,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
AMD_FQ2_2025,AMD,p2_amd,2025-08-05,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
AMD_FQ4_2025,AMD,p2_amd,2026-02-03,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
AAPL_FQ1_2026,AAPL,p2_apple,2026-01-29,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Motley Fool/Insider Monkey
