document_id,doc_type,source_pdf,publisher,detection_source
AMZN_FQ3_2025,Earnings Call Transcript,AMZN-Q3-2025-Earnings-Call-Transcript-InsiderMonkey.txt,Insider Monkey,manifest_filename
AMZN_FQ4_2025,Earnings Call Transcript,AMZN-Q4-2025-Earnings-Call-Transcript-InsiderMonkey.txt,Insider Monkey,manifest_filename
AMZN_FQ1_2026,Earnings Call Transcript,AMZN-Q1-2026-Earnings-Call-Transcript-InsiderMonkey.txt,Insider Monkey,manifest_filename
AMD_FQ2_2025,Earnings Call Transcript,AMD-Q2-2025-Earnings-Call-Transcript-InsiderMonkey.txt,Insider Monkey,manifest_filename
AMD_FQ4_2025,Earnings Call Transcript,AMD-Q4-2025-Earnings-Call-Transcript-InsiderMonkey.txt,Insider Monkey,manifest_filename
SCHW_FQ1_2025,Earnings Call Transcript,SCHW-Q1-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
SCHW_FQ2_2025,Earnings Call Transcript,SCHW-Q2-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
SCHW_FQ3_2025,Earnings Call Transcript,SCHW-Q3-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
SCHW_FQ1_2026,Earnings Call Transcript,SCHW-Q1-2026-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
LLY_FQ3_2025,Earnings Call Transcript,LLY-Q3-2025-earnings-call-transcript-InsiderMonkey.txt,Insider Monkey,manifest_filename
LLY_FQ4_2025,Earnings Call Transcript,LLY-Q4-2025-earnings-call-transcript-InsiderMonkey.txt,Insider Monkey,manifest_filename
LLY_FQ1_2026,Earnings Call Transcript,LLY-Q1-2026-earnings-call-transcript-InsiderMonkey.txt,Insider Monkey,manifest_filename
GS_FQ1_2025,Earnings Call Transcript,GS-Q1-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
GS_FQ3_2025,Earnings Call Transcript,GS-Q3-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
LMT_FQ1_2025,Earnings Call Transcript,LMT-Q1-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
LMT_FQ2_2025,Earnings Call Transcript,LMT-Q2-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
LMT_FQ3_2025,Earnings Call Transcript,LMT-Q3-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
NFLX_FQ1_2025,Earnings Call Transcript,Netflix-Q1-2025-Earnings-Call-Transcript-InsiderMonkey-CORRECTED.txt,Insider Monkey,manifest_filename
NFLX_FQ2_2025,Earnings Call Transcript,Netflix-Q2-2025-Earnings-Call-Transcript-InsiderMonkey-CORRECTED.txt,Insider Monkey,manifest_filename
NVO_FQ1_2025,Earnings Call Transcript,NVO-Q1-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
NVO_FQ2_2025,Earnings Call Transcript,NVO-Q2-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
NVO_FQ3_2025,Earnings Call Transcript,NVO-Q3-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
NVO_FQ4_2025,Earnings Call Transcript,NVO-Q4-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
PEP_FQ1_2023,Earnings Call Transcript,PEP-Q1-2023-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
PEP_FQ2_2023,Earnings Call Transcript,PEP-Q2-2023-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
PEP_FQ3_2023,Earnings Call Transcript,PEP-Q3-2023-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
PEP_FQ4_2023,Earnings Call Transcript,PEP-Q4-2023-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
PEP_FQ2_2024,Earnings Call Transcript,PEP-Q2-2024-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
PEP_FQ1_2025,Earnings Call Transcript,PEP-Q1-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
PEP_FQ2_2025,Earnings Call Transcript,PEP-Q2-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
PEP_FQ4_2025,Earnings Call Transcript,PEP-Q4-2025-earnings-call-transcript-InsiderMonkey.html,Insider Monkey,manifest_filename
BAC_FQ1_2023,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
NFLX_FQ1_2023,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
AVGO_FQ3_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
CMG_FQ1_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
CMG_FQ2_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
COIN_FQ1_2026,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
GIS_FQ2_2026,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
GIS_FQ3_2026,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
HLT_FQ3_2024,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
MAR_FQ2_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
MAR_FQ3_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
MET_FQ2_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
MU_FQ1_2026,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
MU_FQ2_2026,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
MU_FQ4_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
ORCL_FQ1_2026,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
ORCL_FQ2_2026,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
ORCL_FQ3_2026,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
SPOT_FQ1_2026,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
SPOT_FQ2_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
SPOT_FQ3_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
SPOT_FQ4_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
TSLA_FQ1_2026,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
UNH_FQ2_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
UNH_FQ3_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
WDAY_FQ2_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
WDAY_FQ3_2025,(detected in extracted text),(see extracted text),Globe and Mail,extracted_text
WDAY_FQ4_2025,(detected in extracted text),(see extracted text),Insider Monkey,extracted_text
