# Supplementary re-score of 25 worksheet-contaminated events
# ROBUSTNESS CHECK ONLY — N=229 main results unchanged
# Run ID: 20260812T165107Z
# Run date: 2026-08-12T16:57:28.972231+00:00
# Model: deepseek-v4-flash
# Worksheet sections EXCLUDED via WORKSHEET_EXCLUDED_DOCUMENT_IDS
# Grading: pre-registered ±2% raw overnight band on corrected anchor
#
document_id,old_micro_score,old_signal,new_score,new_signal,signal_changed,ret_overnight,correct,net,human_decision,new_agrees_human,old_agrees_human,tokens,cost,model,run_id
AMD_FQ1_2026,0.8,BUY,0.55,BUY,False,0.152649,True,0.151649,BUY,True,True,18259,0.00676,deepseek-v4-flash,20260812T165107Z
AMD_FQ2_2025,0.3,HOLD,0.3,BUY,True,-0.053124,False,-0.054124,BUY,True,False,17196,0.006421,deepseek-v4-flash,20260812T165107Z
AMD_FQ4_2025,0.75,BUY,0.55,BUY,False,-0.111974,False,-0.112974,BUY,True,True,17298,0.006727,deepseek-v4-flash,20260812T165107Z
AMZN_FQ1_2026,0.8,BUY,0.3,BUY,False,0.038511,True,0.037510999999999996,BUY,True,True,16010,0.005863,deepseek-v4-flash,20260812T165107Z
AMZN_FQ3_2025,-0.55,SELL,0.3,BUY,True,0.122229,True,0.121229,SELL,False,True,16381,0.006799,deepseek-v4-flash,20260812T165107Z
AMZN_FQ4_2025,-0.3,SELL,0.15,HOLD,True,-0.089766,,,BUY,False,False,16805,0.005854,deepseek-v4-flash,20260812T165107Z
COIN_FQ1_2026,-0.35,SELL,-0.1,SELL,False,-0.035811,True,0.034811,BUY,False,False,20930,0.00776,deepseek-v4-flash,20260812T165107Z
COIN_FQ3_2025,0.3,BUY,0.3,BUY,False,0.0228,True,0.0218,BUY,True,True,21135,0.00797,deepseek-v4-flash,20260812T165107Z
COIN_FQ4_2025,-0.1,HOLD,-0.1,SELL,True,0.089376,False,-0.090376,HOLD,False,True,21086,0.007488,deepseek-v4-flash,20260812T165107Z
LLY_FQ1_2026,0.85,BUY,0.3,BUY,False,0.055885,True,0.054884999999999996,BUY,True,True,6783,0.003577,deepseek-v4-flash,20260812T165107Z
LLY_FQ3_2025,0.5,BUY,0.5,BUY,False,0.029464,True,0.028464,SELL,False,False,6450,0.003179,deepseek-v4-flash,20260812T165107Z
LLY_FQ4_2025,0.5,BUY,0.15,HOLD,True,0.071413,,,BUY,False,True,6832,0.003702,deepseek-v4-flash,20260812T165107Z
META_FQ1_2026,-0.5,SELL,0.3,BUY,True,-0.074426,False,-0.075426,BUY,True,False,17211,0.006287,deepseek-v4-flash,20260812T165107Z
META_FQ3_2025,-0.45,SELL,0.15,HOLD,True,-0.109782,,,BUY,False,False,17398,0.006898,deepseek-v4-flash,20260812T165107Z
META_FQ4_2025,0.5,BUY,0.3,BUY,False,0.102732,True,0.101732,BUY,True,True,17212,0.006366,deepseek-v4-flash,20260812T165107Z
NFLX_FQ3_2025,0.0,HOLD,0.15,HOLD,False,-0.079309,,,HOLD,True,True,14616,0.005289,deepseek-v4-flash,20260812T165107Z
NFLX_FQ4_2024,0.8,BUY,0.3,BUY,False,0.147583,True,0.146583,BUY,True,True,13957,0.005419,deepseek-v4-flash,20260812T165107Z
NFLX_FQ4_2025,0.6,BUY,0.3,BUY,False,-0.05432,False,-0.05532,BUY,True,True,15361,0.005897,deepseek-v4-flash,20260812T165107Z
NVDA_FQ1_2025,-0.5,SELL,0.55,BUY,True,0.028336,True,0.027336,BUY,True,False,16222,0.005754,deepseek-v4-flash,20260812T165107Z
NVDA_FQ2_2025,0.35,HOLD,0.3,BUY,True,0.055189,True,0.054189,BUY,True,False,17098,0.007085,deepseek-v4-flash,20260812T165107Z
NVDA_FQ3_2025,0.6,BUY,0.55,BUY,False,-0.004295,,-0.005295,BUY,True,True,15586,0.005687,deepseek-v4-flash,20260812T165107Z
NVDA_FQ4_2025,0.75,BUY,0.55,BUY,False,0.050558,True,0.049558,BUY,True,True,19299,0.007395,deepseek-v4-flash,20260812T165107Z
TSLA_FQ1_2026,0.1,SELL,0.15,HOLD,True,-0.031561,,,BUY,False,False,16326,0.007029,deepseek-v4-flash,20260812T165107Z
TSLA_FQ3_2025,0.2,HOLD,0.3,BUY,True,-0.043215,False,-0.044215000000000004,BUY,True,False,18800,0.007316,deepseek-v4-flash,20260812T165107Z
TSLA_FQ4_2025,0.6,BUY,0.15,HOLD,True,0.014694,,,BUY,False,True,17706,0.006394,deepseek-v4-flash,20260812T165107Z
