issuer,document_id,ticker,report_date,forward_return_1d
boeing,BA_FQ1_2021,BA,2021-04-28,0.002039
boeing,BA_FQ1_2022,BA,2022-04-27,-0.001554
boeing,BA_FQ1_2023,BA,2023-04-26,0.014825
boeing,BA_FQ1_2024,BA,2024-04-24,0.015092
boeing,BA_FQ1_2025,BA,2025-04-23,0.022568
boeing,BA_FQ1_2026,BA,2026-04-22,0.012409
boeing,BA_FQ2_2021,BA,2021-07-28,0.000259
boeing,BA_FQ2_2022,BA,2022-07-27,0.01922
boeing,BA_FQ2_2023,BA,2023-07-26,0.004081
boeing,BA_FQ2_2024,BA,2024-07-31,-0.064481
boeing,BA_FQ2_2025,BA,2025-07-29,-0.001062
boeing,BA_FQ3_2021,BA,2021-10-27,0.006002
boeing,BA_FQ3_2022,BA,2022-10-26,0.044622
boeing,BA_FQ3_2023,BA,2023-10-25,0.007652
boeing,BA_FQ3_2024,BA,2024-10-23,-0.011843
boeing,BA_FQ3_2025,BA,2025-10-29,-0.063208
boeing,BA_FQ4_2020,BA,2021-01-27,0.016492
boeing,BA_FQ4_2021,BA,2022-01-26,-0.023267
boeing,BA_FQ4_2022,BA,2023-01-25,0.000235
boeing,BA_FQ4_2023,BA,2024-01-31,-0.005828
boeing,BA_FQ4_2024,BA,2025-01-28,-0.023175
boeing,BA_FQ4_2025,BA,2026-01-27,-0.012144
jpm,JPM_FQ1_2021,JPM,2021-04-14,0.006349
jpm,JPM_FQ1_2022,JPM,2022-04-13,-0.009269
jpm,JPM_FQ1_2023,JPM,2023-04-14,0.007929
jpm,JPM_FQ1_2024,JPM,2024-04-12,0.000547
jpm,JPM_FQ1_2025,JPM,2025-04-11,-0.006266
jpm,JPM_FQ1_2026,JPM,2026-04-14,-0.016682
jpm,JPM_FQ2_2021,JPM,2021-07-13,-0.003405
jpm,JPM_FQ2_2022,JPM,2022-07-14,0.045834
jpm,JPM_FQ2_2023,JPM,2023-07-14,0.024104
jpm,JPM_FQ2_2024,JPM,2024-07-12,0.024934
jpm,JPM_FQ2_2025,JPM,2025-07-15,-0.002548
jpm,JPM_FQ3_2021,JPM,2021-10-13,0.015342
jpm,JPM_FQ3_2022,JPM,2022-10-14,0.042
jpm,JPM_FQ3_2023,JPM,2023-10-13,-0.001014
jpm,JPM_FQ3_2024,JPM,2024-10-11,-0.003644
jpm,JPM_FQ3_2025,JPM,2025-10-14,0.011951
jpm,JPM_FQ4_2020,JPM,2021-01-15,-0.004328
jpm,JPM_FQ4_2021,JPM,2022-01-14,-0.041928
jpm,JPM_FQ4_2022,JPM,2023-01-13,-0.015453
jpm,JPM_FQ4_2023,JPM,2024-01-12,-0.00627
jpm,JPM_FQ4_2024,JPM,2025-01-15,0.007609
jpm,JPM_FQ4_2025,JPM,2026-01-13,-0.009746
netflix,NFLX_FQ1_2021,NFLX,2021-04-20,-0.074003
netflix,NFLX_FQ1_2022,NFLX,2022-04-19,-0.351166
netflix,NFLX_FQ1_2023,NFLX,2023-04-18,-0.031705
netflix,NFLX_FQ1_2024,NFLX,2024-04-18,-0.090933
netflix,NFLX_FQ1_2025,NFLX,2025-04-17,0.015292
netflix,NFLX_FQ1_2026,NFLX,2026-04-16,-0.097226
netflix,NFLX_FQ2_2021,NFLX,2021-07-20,-0.032803
netflix,NFLX_FQ2_2022,NFLX,2022-07-19,0.073451
netflix,NFLX_FQ2_2023,NFLX,2023-07-19,-0.08411
netflix,NFLX_FQ2_2024,NFLX,2024-07-18,-0.015085
netflix,NFLX_FQ2_2025,NFLX,2025-07-17,-0.050959
netflix,NFLX_FQ3_2021,NFLX,2021-10-19,-0.02169
netflix,NFLX_FQ3_2022,NFLX,2022-10-18,0.130864
netflix,NFLX_FQ3_2023,NFLX,2023-10-18,0.160548
netflix,NFLX_FQ3_2024,NFLX,2024-10-17,0.11087
netflix,NFLX_FQ3_2025,NFLX,2025-10-21,-0.100681
netflix,NFLX_FQ4_2020,NFLX,2021-01-19,0.168543
netflix,NFLX_FQ4_2021,NFLX,2022-01-20,-0.217905
netflix,NFLX_FQ4_2022,NFLX,2023-01-19,0.084616
netflix,NFLX_FQ4_2023,NFLX,2024-01-23,0.107032
netflix,NFLX_FQ4_2024,NFLX,2025-01-21,0.096944
netflix,NFLX_FQ4_2025,NFLX,2026-01-20,-0.021774
