row_index,event_key,company,ticker,year,quarter,correctable,prior_closing_date,prior_close,next_opening_date,next_day_open,release_date,release_timing,release_date_source,entry_shifted_vs_legacy,report_date_corrected,original_prior_close,original_next_day_open,price_delta_flag,not_correctable_reason
3,Netflix|2026|Q1,Netflix,NFLX,2026,Q1,TRUE,2026-04-16,107.79,2026-04-17,96.37,2026-04-16,after_hours,returns_matrix.csv,FALSE,YES,107.79,96.37,NO,
4,Netflix|2025|Q2,Netflix,NFLX,2025,Q2,TRUE,2025-07-17,127.417,2025-07-18,124.2,2025-07-17,after_hours,returns_matrix.csv,FALSE,YES,127.42,129.92,NO,
5,Netflix|2025|Q3,Netflix,NFLX,2025,Q3,TRUE,2025-10-21,124.135,2025-10-22,114.29,2025-10-21,after_hours,returns_matrix.csv,FALSE,YES,124.14,114.29,NO,
6,Netflix|2025|Q4,Netflix,NFLX,2025,Q4,TRUE,2026-01-20,87.26,2026-01-21,82.52,2026-01-20,after_hours,returns_matrix.csv,FALSE,YES,87.26,82.52,NO,
7,Netflix|2026|Q1,Netflix,NFLX,2026,Q1,TRUE,2026-04-16,107.79,2026-04-17,96.37,2026-04-16,after_hours,returns_matrix.csv,FALSE,YES,107.79,96.37,NO,
8,Netflix|2025|Q2,Netflix,NFLX,2025,Q2,TRUE,2025-07-17,127.417,2025-07-18,124.2,2025-07-17,after_hours,returns_matrix.csv,FALSE,YES,127.42,129.92,NO,
9,Netflix|2025|Q3,Netflix,NFLX,2025,Q3,TRUE,2025-10-21,124.135,2025-10-22,114.29,2025-10-21,after_hours,returns_matrix.csv,FALSE,YES,124.14,114.29,NO,
10,Netflix|2025|Q4,Netflix,NFLX,2025,Q4,TRUE,2026-01-20,87.26,2026-01-21,82.52,2026-01-20,after_hours,returns_matrix.csv,FALSE,YES,87.26,82.52,NO,
11,Netflix|2025|Q1,Netflix,NFLX,2025,Q1,TRUE,2025-04-17,97.303,2025-04-18,98.44,2025-04-17,after_hours,returns_matrix.csv,FALSE,YES,97.3,98.44,NO,
12,Netflix|2025|Q2,Netflix,NFLX,2025,Q2,TRUE,2025-07-17,127.417,2025-07-18,124.2,2025-07-17,after_hours,returns_matrix.csv,FALSE,YES,127.42,124.2,NO,
13,Netflix|2025|Q3,Netflix,NFLX,2025,Q3,TRUE,2025-10-21,124.135,2025-10-22,114.29,2025-10-21,after_hours,returns_matrix.csv,FALSE,YES,124.14,114.29,NO,
14,Netflix|2025|Q4,Netflix,NFLX,2025,Q4,TRUE,2026-01-20,87.26,2026-01-21,82.52,2026-01-20,after_hours,returns_matrix.csv,FALSE,YES,87.26,82.52,NO,
15,Nvidia|2025|Q1,Nvidia,NVDA,2025,Q1,TRUE,2025-02-26,131.28,2025-02-27,135.0,2025-02-26,after_hours,returns_matrix.csv,FALSE,YES,131.28,135.0,NO,
16,Nvidia|2025|Q2,Nvidia,NVDA,2025,Q2,TRUE,2025-05-28,134.81,2025-05-29,142.25,2025-05-28,after_hours,returns_matrix.csv,FALSE,YES,134.81,142.25,NO,
17,Nvidia|2025|Q3,Nvidia,NVDA,2025,Q3,TRUE,2025-08-27,181.6,2025-08-28,180.82,2025-08-27,after_hours,returns_matrix.csv,FALSE,YES,181.6,180.82,NO,
18,Nvidia|2025|Q4,Nvidia,NVDA,2025,Q4,TRUE,2025-11-19,186.52,2025-11-20,195.95,2025-11-19,after_hours,returns_matrix.csv,FALSE,YES,186.52,195.95,NO,
19,Boeing|2025|Q1,Boeing,BA,2025,Q1,TRUE,2025-04-22,162.52,2025-04-23,174.0,2025-04-23,pre_market,returns_matrix.csv,TRUE,YES,172.37,171.2,YES,
20,Boeing|2025|Q2,Boeing,BA,2025,Q2,TRUE,2025-07-28,236.41,2025-07-29,239.5,2025-07-29,pre_market,returns_matrix.csv,TRUE,YES,226.08,227.84,YES,
21,Boeing|2025|Q3,Boeing,BA,2025,Q3,TRUE,2025-10-28,223.33,2025-10-29,221.36,2025-10-29,pre_market,returns_matrix.csv,TRUE,YES,213.58,210.01,YES,
22,Boeing|2025|Q4,Boeing,BA,2025,Q4,TRUE,2026-01-26,248.43,2026-01-27,242.5,2026-01-27,pre_market,returns_matrix.csv,TRUE,YES,244.56,244.09,YES,
23,Disney|2025|Q1,Disney,DIS,2025,Q1,TRUE,2025-02-04,113.3,2025-02-05,115.7,2025-02-05,pre_market,returns_matrix.csv,TRUE,YES,110.54,115.7,YES,
24,Disney|2025|Q3,Disney,DIS,2025,Q3,TRUE,2025-08-05,118.32,2025-08-06,115.78,2025-08-06,pre_market,returns_matrix.csv,TRUE,YES,118.32,115.78,YES,
25,Disney|2025|Q4,Disney,DIS,2025,Q4,TRUE,2025-11-12,116.65,2025-11-13,108.89,2025-11-13,pre_market,returns_matrix.csv,TRUE,YES,116.65,108.89,YES,
26,Netflix|2025|Q3,Netflix,NFLX,2025,Q3,TRUE,2025-10-21,124.135,2025-10-22,114.29,2025-10-21,after_hours,returns_matrix.csv,FALSE,YES,124.14,114.29,NO,
27,Netflix|2025|Q4,Netflix,NFLX,2025,Q4,TRUE,2026-01-20,87.26,2026-01-21,82.52,2026-01-20,after_hours,returns_matrix.csv,FALSE,YES,87.26,82.52,NO,
