row_index,event_key,company,ticker,year,quarter,sentiment_score,decision,token_cost,run_id,model_version,run_date,document_date,closing_date,prior_close,opening_date,next_day_open,actual_pct_change,actual_direction,prediction_correct,position,net_pnl,release_date,release_timing,release_date_source,excluded,exclusion_reason,in_four_arm_set,in_two_arm_set,arm_full_decision,arm_full_correct,arm_full_tokens,arm_pr_decision,arm_pr_correct,arm_pr_tokens,arm_prepared_decision,arm_prepared_correct,arm_prepared_tokens,arm_qa_decision,arm_qa_correct,arm_qa_tokens,notes
3,Airbnb|2026|Q1,Airbnb,ABNB,2026,Q1,0.14,HOLD,0.00783,20260812_183842,deepseek-chat,,2026-05-07,2026-05-07,140.46,2026-05-08,138.12,-1.6624,FLAT,YES,0,0.0,2026-05-07,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,22987,BUY,,7599,BUY,,9159,BUY,,16694,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
4,Airbnb|2025|Q2,Airbnb,ABNB,2025,Q2,0.155,HOLD,0.008082,20260812_183842,deepseek-chat,,2025-08-06,2025-08-06,130.5,2025-08-07,120.38,-7.7548,DOWN,NO,0,0.0,2025-08-06,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,HOLD,,23584,HOLD,,7203,HOLD,,7291,HOLD,,19584,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
5,Airbnb|2025|Q3,Airbnb,ABNB,2025,Q3,0.2725,BUY,0.007759,20260812_183842,deepseek-chat,,2025-11-06,2025-11-06,120.53,2025-11-07,125.49,4.1193,UP,YES,1,0.040193,2025-11-06,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,HOLD,,22963,HOLD,,7038,HOLD,,8715,HOLD,,16900,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
6,Airbnb|2025|Q4,Airbnb,ABNB,2025,Q4,0.415,BUY,0.00738,20260812_183842,deepseek-chat,,2026-02-12,2026-02-12,115.96,2026-02-13,126.47,9.0592,UP,YES,1,0.089592,2026-02-12,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,22421,BUY,,7666,BUY,,9466,HOLD,,14547,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
7,Amazon|2026|Q1,Amazon,AMZN,2026,Q1,0.305,BUY,0.005951,20260812_183842,deepseek-chat,,2026-04-29,2026-04-29,263.04,2026-04-30,273.17,3.8511,UP,YES,1,0.037511,2026-04-29,after_hours,returns_matrix.csv,TRUE,worksheet contamination,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
8,Amazon|2025|Q3,Amazon,AMZN,2025,Q3,-0.1675,SELL,0.006521,20260812_183842,deepseek-chat,,2025-10-30,2025-10-30,222.86,2025-10-31,250.1,12.2229,UP,NO,-1,-0.123229,2025-10-30,after_hours,returns_matrix.csv,TRUE,worksheet contamination,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
9,Amazon|2025|Q4,Amazon,AMZN,2025,Q4,-0.0525,SELL,0.006899,20260812_183842,deepseek-chat,,2026-02-05,2026-02-05,222.69,2026-02-06,202.7,-8.9766,DOWN,YES,-1,0.088766,2026-02-05,after_hours,returns_matrix.csv,TRUE,worksheet contamination,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
10,AMD|2026|Q1,AMD,AMD,2026,Q1,0.305,BUY,0.006512,20260812_183842,deepseek-chat,,2026-05-05,2026-05-05,355.26,2026-05-06,409.49,15.2649,UP,YES,1,0.151649,2026-05-05,after_hours,returns_matrix.csv,TRUE,worksheet contamination,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
11,AMD|2025|Q2,AMD,AMD,2025,Q2,0.21,HOLD,0.00632,20260812_183842,deepseek-chat,,2025-08-05,2025-08-05,174.31,2025-08-06,165.05,-5.3124,DOWN,NO,0,0.0,2025-08-05,after_hours,returns_matrix.csv,TRUE,worksheet contamination,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
12,AMD|2025|Q4,AMD,AMD,2025,Q4,0.525,BUY,0.006357,20260812_183842,deepseek-chat,,2026-02-03,2026-02-03,242.11,2026-02-04,215.0,-11.1974,DOWN,NO,1,-0.112974,2026-02-03,after_hours,returns_matrix.csv,TRUE,worksheet contamination,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
13,Apple|2026|Q1,Apple,AAPL,2026,Q1,0.2775,BUY,0.007147,20260812_183842,deepseek-chat,,2026-01-29,2026-01-29,258.28,2026-01-30,255.17,-1.2041,FLAT,NO,1,-0.013041,2026-01-29,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,20376,HOLD,,6521,BUY,,10585,BUY,,12283,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
14,Apple|2025|Q3,Apple,AAPL,2025,Q3,0.1275,HOLD,0.007011,20260812_183842,deepseek-chat,,2025-07-31,2025-07-31,207.57,2025-08-01,210.87,1.5898,FLAT,YES,0,0.0,2025-07-31,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,HOLD,,19440,HOLD,,7016,HOLD,,10760,HOLD,,11388,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
15,Apple|2025|Q4,Apple,AAPL,2025,Q4,0.3,BUY,0.006683,20260812_183842,deepseek-chat,,2025-10-30,2025-10-30,271.4,2025-10-31,276.99,2.0597,UP,YES,1,0.019597,2025-10-30,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,18693,HOLD,,7142,BUY,,10726,BUY,,11602,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
16,CVS Health|2026|Q1,CVS Health,CVS,2026,Q1,0.14,HOLD,0.007966,20260812_183842,deepseek-chat,,2026-05-06,2026-05-05,80.69,2026-05-06,85.51,5.9735,UP,NO,0,0.0,2026-05-06,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,21225,BUY,,8146,BUY,,10075,HOLD,,13788,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
