Company	Ticker	Year	Quarter	Rater	Type (Human/LLM)	Sentiment Score (-1 to +1)	Decision (BUY/HOLD/SELL)	Time (mins) Humans only	Prior Close ($)	Next Day Open ($)	Actual % Change	Actual Direction	Prediction Correct?	Position	Net P&L	Notes / Risks Flagged
Airbnb	ABNB	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1400	HOLD		140.46	138.12	-1.67%	FLAT	YES	0	0.0000%	micro=0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Airbnb	ABNB	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1550	HOLD		130.50	120.38	-7.75%	DOWN	NO	0	0.0000%	micro=0.20 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Airbnb	ABNB	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2725	BUY		120.53	125.50	4.12%	UP	YES	1	4.0235%	micro=0.25 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Airbnb	ABNB	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.4150	BUY		115.96	126.46	9.05%	UP	YES	1	8.9548%	micro=0.55 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Amazon	AMZN	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3050	BUY		263.04	273.17	3.85%	UP	YES	1	3.7511%	micro=0.80 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Amazon	AMZN	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1675	SELL		222.86	250.10	12.22%	UP	NO	-1	-12.3229%	micro=-0.55 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Amazon	AMZN	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0525	SELL		222.69	202.70	-8.98%	DOWN	YES	-1	8.8766%	micro=-0.30 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
AMD	AMD	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3050	BUY		355.26	409.49	15.26%	UP	YES	1	15.1649%	micro=0.80 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
AMD	AMD	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		174.31	165.05	-5.31%	DOWN	NO	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
AMD	AMD	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.5250	BUY		242.11	215.00	-11.20%	DOWN	NO	1	-11.2974%	micro=0.75 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Apple	AAPL	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2775	BUY		257.80	254.70	-1.20%	FLAT	NO	1	-1.3025%	micro=0.30 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Apple	AAPL	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1275	HOLD		206.75	210.04	1.59%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Apple	AAPL	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		270.63	276.21	2.06%	UP	YES	1	1.9619%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
CVS Health	CVS	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1400	HOLD		86.86	87.00	0.16%	FLAT	YES	0	0.0000%	micro=0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
CVS Health	CVS	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		60.19	60.40	0.35%	FLAT	YES	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
CVS Health	CVS	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		78.76	74.34	-5.61%	DOWN	NO	1	-5.7120%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
CVS Health	CVS	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1950	HOLD		74.58	74.58	0.00%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Charles Schwab	SCHW	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		74.51	76.45	2.60%	UP	NO	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Charles Schwab	SCHW	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		99.91	95.42	-4.49%	DOWN	NO	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Charles Schwab	SCHW	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		91.93	94.50	2.80%	UP	NO	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Charles Schwab	SCHW	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		93.41	93.85	0.47%	FLAT	NO	1	0.3710%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
