Company	Ticker	Year	Quarter	Rater	Type (Human/LLM)	Sentiment Score (-1 to +1)	Decision (BUY/HOLD/SELL)	Time (seconds)	Document Date	Closing Date	Prior Close ($)	Opening Date	Next Day Open ($)	Token Cost ($)	Actual % Change	Actual Direction	Prediction Correct?	Position	Net PL	Notes / Risks Flagged
Airbnb	ABNB	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1400	HOLD		2026-05-07	2026-05-07	140.46	2026-05-08	138.12	0.007830	-1.67%	FLAT	YES	0	0.0000%	micro=0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Airbnb	ABNB	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1550	HOLD		2025-08-06	2025-08-06	130.50	2025-08-07	120.38	0.008082	-7.75%	DOWN	NO	0	0.0000%	micro=0.20 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Airbnb	ABNB	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2725	BUY		2025-11-06	2025-11-06	120.53	2025-11-07	125.50	0.007759	4.12%	UP	YES	1	4.0235%	micro=0.25 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Airbnb	ABNB	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.4150	BUY		2026-02-12	2026-02-12	115.96	2026-02-13	126.46	0.007380	9.05%	UP	YES	1	8.9548%	micro=0.55 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Amazon	AMZN	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3050	BUY		2026-04-29	2026-04-29	263.04	2026-04-30	273.17	0.005951	3.85%	UP	YES	1	3.7511%	micro=0.80 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Amazon	AMZN	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1675	SELL		2025-10-30	2025-10-30	222.86	2025-10-31	250.10	0.006521	12.22%	UP	NO	-1	-12.3229%	micro=-0.55 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Amazon	AMZN	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0525	SELL		2026-02-05	2026-02-05	222.69	2026-02-06	202.70	0.006899	-8.98%	DOWN	YES	-1	8.8766%	micro=-0.30 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
AMD	AMD	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3050	BUY		2026-05-05	2026-05-05	355.26	2026-05-06	409.49	0.006512	15.26%	UP	YES	1	15.1649%	micro=0.80 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
AMD	AMD	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		2025-08-05	2025-08-05	174.31	2025-08-06	165.05	0.006320	-5.31%	DOWN	NO	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
AMD	AMD	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.5250	BUY		2026-02-03	2026-02-03	242.11	2026-02-04	215.00	0.006357	-11.20%	DOWN	NO	1	-11.2974%	micro=0.75 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
