Company	Ticker	Year	Quarter	Rater	Type (Human/LLM)	Sentiment Score (-1 to +1)	Decision (BUY/HOLD/SELL)	Time (seconds)	Document Date	Closing Date	Prior Close ($)	Opening Date	Next Day Open ($)	Token Cost ($)	Actual % Change	Actual Direction	Prediction Correct?	Position	Net PL	Notes / Risks Flagged
Airbnb	ABNB	2026	Q1	Ben/DeepSeek	LLM	0.1400	HOLD		2026-05-07	2026-05-07	140.46	2026-05-08	138.12	0.007830	-1.67%	FLAT	YES	0	0.0000%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Airbnb	ABNB	2025	Q2	Ben/DeepSeek	LLM	0.1550	HOLD		2025-08-06	2025-08-06	130.50	2025-08-07	120.38	0.008082	-7.75%	DOWN	NO	0	0.0000%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Airbnb	ABNB	2025	Q3	Ben/DeepSeek	LLM	0.2725	BUY		2025-11-06	2025-11-06	120.53	2025-11-07	125.50	0.007759	4.12%	UP	YES	1	4.0235%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Airbnb	ABNB	2025	Q4	Ben/DeepSeek	LLM	0.4150	BUY		2026-02-12	2026-02-12	115.96	2026-02-13	126.46	0.007380	9.05%	UP	YES	1	8.9548%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Amazon	AMZN	2026	Q1	Ben/DeepSeek	LLM	0.3050	BUY		2026-04-29	2026-04-29	263.04	2026-04-30	273.17	0.005951	3.85%	UP	YES	1	3.7511%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Amazon	AMZN	2025	Q3	Ben/DeepSeek	LLM	-0.1675	SELL		2025-10-30	2025-10-30	222.86	2025-10-31	250.10	0.006521	12.22%	UP	NO	-1	-12.3229%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Amazon	AMZN	2025	Q4	Ben/DeepSeek	LLM	-0.0525	SELL		2026-02-05	2026-02-05	222.69	2026-02-06	202.70	0.006899	-8.98%	DOWN	YES	-1	8.8766%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
AMD	AMD	2026	Q1	Ben/DeepSeek	LLM	0.3050	BUY		2026-05-05	2026-05-05	355.26	2026-05-06	409.49	0.006512	15.26%	UP	YES	1	15.1649%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
AMD	AMD	2025	Q2	Ben/DeepSeek	LLM	0.2100	HOLD		2025-08-05	2025-08-05	174.31	2025-08-06	165.05	0.006320	-5.31%	DOWN	NO	0	0.0000%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
AMD	AMD	2025	Q4	Ben/DeepSeek	LLM	0.5250	BUY		2026-02-03	2026-02-03	242.11	2026-02-04	215.00	0.006357	-11.20%	DOWN	NO	1	-11.2974%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Apple	AAPL	2026	Q1	Ben/DeepSeek	LLM	0.2775	BUY		2026-01-29	2026-01-29	257.80	2026-01-30	254.70	0.007147	-1.20%	FLAT	NO	1	-1.3025%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Apple	AAPL	2025	Q3	Ben/DeepSeek	LLM	0.1275	HOLD		2025-07-31	2025-07-31	206.75	2025-08-01	210.04	0.007011	1.59%	FLAT	YES	0	0.0000%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Apple	AAPL	2025	Q4	Ben/DeepSeek	LLM	0.3000	BUY		2025-10-30	2025-10-30	270.63	2025-10-31	276.21	0.006683	2.06%	UP	YES	1	1.9619%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
CVS Health	CVS	2026	Q1	Ben/DeepSeek	LLM	0.1400	HOLD		2026-05-06	2026-05-06	86.86	2026-05-07	87.00	0.007966	0.16%	FLAT	YES	0	0.0000%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
CVS Health	CVS	2025	Q2	Ben/DeepSeek	LLM	0.2100	HOLD		2025-07-31	2025-07-31	60.19	2025-08-01	60.40	0.007279	0.35%	FLAT	YES	0	0.0000%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
CVS Health	CVS	2025	Q3	Ben/DeepSeek	LLM	0.3000	BUY		2025-10-29	2025-10-29	78.76	2025-10-30	74.34	0.008589	-5.61%	DOWN	NO	1	-5.7120%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
CVS Health	CVS	2025	Q4	Ben/DeepSeek	LLM	0.1950	HOLD		2026-02-10	2026-02-10	74.58	2026-02-11	74.58	0.007673	0.00%	FLAT	YES	0	0.0000%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Charles Schwab	SCHW	2025	Q1	Ben/DeepSeek	LLM	0.0300	HOLD		2025-04-16	2025-04-16	74.51	2025-04-17	76.45	0.009676	2.60%	UP	NO	0	0.0000%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Charles Schwab	SCHW	2026	Q1	Ben/DeepSeek	LLM	0.0300	HOLD		2026-04-15	2026-04-15	99.91	2026-04-16	95.42	0.009292	-4.49%	DOWN	NO	0	0.0000%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Charles Schwab	SCHW	2025	Q2	Ben/DeepSeek	LLM	0.2100	HOLD		2025-07-17	2025-07-17	91.93	2025-07-18	94.50	0.009653	2.80%	UP	NO	0	0.0000%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Charles Schwab	SCHW	2025	Q3	Ben/DeepSeek	LLM	0.3000	BUY		2025-10-15	2025-10-15	93.41	2025-10-16	93.85	0.009340	0.47%	FLAT	NO	1	0.3710%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Charles Schwab	SCHW	2025	Q4	Ben/DeepSeek	LLM	0.3875	BUY		2026-01-20	2026-01-20	100.29	2026-01-21	100.63	0.009849	0.34%	FLAT	NO	1	0.2390%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Citigroup	C	2025	Q1	Ben/DeepSeek	LLM	-0.0525	SELL		2025-04-15	2025-04-15	62.40	2025-04-16	61.17	0.006537	-1.97%	FLAT	NO	-1	1.8712%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Citigroup	C	2025	Q2	Ben/DeepSeek	LLM	0.1275	HOLD		2025-07-15	2025-07-15	88.71	2025-07-16	89.45	0.007676	0.83%	FLAT	YES	0	0.0000%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Citigroup	C	2025	Q3	Ben/DeepSeek	LLM	0.3000	BUY		2025-10-14	2025-10-14	98.27	2025-10-15	99.60	0.009918	1.35%	FLAT	NO	1	1.2534%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Citigroup	C	2025	Q4	Ben/DeepSeek	LLM	0.2775	BUY		2026-01-14	2026-01-14	111.30	2026-01-15	112.73	0.017345	1.28%	FLAT	NO	1	1.1848%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
Coca-Cola	KO	2026	Q1	Ben/DeepSeek	LLM	0.0300	HOLD		2026-04-28	2026-04-28	77.85	2026-04-29	77.87	0.006676	0.03%	FLAT	YES	0	0.0000%	w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)
